PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,NHSPOP,NHSRESP_RATE,NHSAGG,NHSSBJ,NHSQ1,NHSQ2,NHSQ3,NHSQ4,NHSQ5,NHSQ6
10007823,10007823,BAH000056,1,55,79,14,,91,96,89,91,93,91
10007823,10007823,BAH000105,1,245,70,13,005,93,94,92,96,96,95
10007823,10007823,BNADn,1,95,65,14,,95,93,89,96,97,96
10007823,10007823,BNCHn,1,25,63,14,,89,85,100,100,96,96
10007823,10007823,BNLDn,1,10,92,14,,91,100,91,100,100,100
10007823,10007823,BNMHn,1,25,60,14,,96,96,89,100,96,96
10007823,10007823,UDI000022,1,40,100,14,,95,88,63,76,80,66
10007842,10007842,UB-DIARA-0,1,55,87,14,,89,96,91,94,83,91
10007842,10007842,UB-MDWFR-0,1,15,94,14,,87,100,100,100,100,100
10007842,10007842,UB-NRSAD-0,1,90,85,14,,76,89,83,91,91,86
10007842,10007842,UB-NRSCH-0,1,10,92,14,,83,92,83,92,92,83
10007842,10007842,UB-NRSLD-0,1,25,92,14,,83,88,88,88,96,92
10007842,10007842,UB-NRSMH-0,1,25,86,14,,68,92,92,100,96,100
10007842,10007842,UB-OCCTP-0,1,40,89,14,,79,95,92,97,90,95
10007842,10007842,UB-PHYSI-0,1,15,93,14,,93,93,86,86,86,86
10007848,10007848,NBSB720-K,1,25,93,14,,100,100,96,96,96,100
10007848,10007848,NBSB730-K,1,10,92,14,,100,100,100,100,100,91
10007848,10007848,NBSB740-K,1,155,71,14,,78,89,89,95,95,92
10007848,10007848,NBSB760-K,1,200,70,14,,80,91,90,95,96,92
10007848,10007848,NBSB761-K,1,15,82,14,,93,100,100,100,100,93
10007848,10007848,UBSB401-K,1,20,95,14,,89,100,100,100,100,100
10007851,10007851,B7703,1,125,94,14,,60,83,79,94,90,86
10007851,10007851,B7703CH,1,125,94,14,,60,83,79,94,90,86
10007851,10007851,B7803,1,35,100,14,,74,94,94,97,94,91
10007851,10007851,B8213,1,35,89,14,,91,100,79,91,91,88
10007851,10007851,B9203,1,55,95,14,,87,91,89,93,93,87
10007854,10007854,B402,1,10,67,14,,75,92,75,92,83,83
10007854,10007854,B985,1,20,83,14,,79,95,100,95,89,89
10007855,10007855,BMHD3XXXSHTS,1,25,87,14,,92,100,96,96,96,100
10007855,10007855,BSHD3XAXSHNAS,1,95,87,14,,86,89,91,95,96,92
10007855,10007855,BSHD3XAXSHNASC,1,95,87,14,,86,89,91,95,96,92
10007855,10007855,BSHD3XCXSHNCS,1,20,87,14,,65,90,95,100,100,95
10007855,10007855,BSHD3XHXSHAUS,1,15,93,23,009,79,100,86,93,93,86
10007855,10007855,BSHD3XHXSHCPS,1,10,63,14,,90,90,90,90,100,80
10007855,10007855,BSHD3XHXSHRSS,1,255,83,11,2,82,91,89,95,96,91
10007855,10007855,BSHD3XMXSHNHS,1,50,78,14,,62,83,81,90,94,85
10007855,10007855,DIFD2PXUSHPEM,2,20,100,14,,78,94,83,89,78,72
10007855,10007855,DIFD2XXUSHPAM,1,15,100,14,,76,100,94,100,94,94
10007857,10007857,BM_MW,1,20,100,14,,70,100,90,85,85,95
10007857,10007857,BN_NURSA,1,65,82,14,,83,95,86,95,94,95
10007857,10007857,BN_NURSC,1,10,92,14,,83,92,75,83,92,83
10007857,10007857,BN_NURSLD,1,130,84,13,005,77,93,84,92,92,93
10007857,10007857,BN_NURSM,1,25,74,14,,65,85,81,96,96,92
10007857,10007857,BSC_DR,1,10,100,14,,100,100,91,100,100,100
10007857,10007857,BSC_HSN,1,130,84,13,005,77,93,84,92,92,93
10014001,10014001,IDIRSGLEU-Y,1,35,88,14,,86,91,91,91,77,89
10014001,10014001,IRAOSGLEU-Y,1,15,100,14,,88,100,88,94,75,75
10014001,10014001,WATNSGLEU-Y,1,60,67,14,,47,87,82,80,82,68
10014001,10014001,WCHHSGLEU-Y,1,15,68,24,,71,94,88,94,88,88
10014001,10014001,WMHHSGLEU-Y,1,10,50,14,,73,100,91,100,91,100
10014001,10014001,WMICSGLEU-Y,1,10,92,24,,64,100,64,64,82,73
10014001,10014001,WMIDSGLEU-Y,1,10,92,14,,64,100,91,91,100,82
10014001,10014001,WODPDIPLU-Y,1,25,59,23,005,78,96,89,96,96,100
10037449,10037449,B620,1,25,84,14,,69,88,77,96,88,77
