PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,TARPOP,TARAGG,TARSBJ,T001,T048,T064,T080,T096,T112,T128,T144,T160,T176,T192,T208,T224,T240
10003861,10003861,SHEMB,1,115,13,011,3,3,8,19,23,19,10,12,3,1,0,1,0,0
10003861,10003861,SOCIY,1,80,14,,0,3,19,27,24,9,13,3,4,0,0,0,0,0
10003861,10003861,SPEXS,1,370,14,,1,1,1,8,21,17,15,16,15,2,1,2,1,0
10003861,10003861,SWKBA,1,45,14,,0,0,0,0,10,25,15,20,20,0,0,0,0,0
10003861,10003861,YWCDJ,1,20,14,,0,10,5,15,45,10,0,0,10,0,0,0,0,0
10003863,10003863,ACBUSSH,1,20,13,061,0,0,10,20,15,35,10,10,0,0,0,0,0,0
10003863,10003863,ACBUSSH,1,45,11,D,0,5,10,20,15,25,10,10,0,0,0,0,0,0
10003863,10003863,BCJOUSH,1,10,24,,0,0,10,25,35,10,15,10,0,0,0,0,0,0
10003863,10003863,BUSAMKT,1,10,14,,0,0,20,20,20,10,20,10,10,0,0,0,0,0
10003863,10003863,BUSMASH,1,15,14,,0,5,20,15,15,30,15,0,0,0,0,0,0,0
10003863,10003863,CNPSYCH,1,105,13,019,1,1,6,14,18,24,16,10,7,3,1,0,0,0
10003863,10003863,CRMOLGY,1,15,12,21,5,5,10,15,30,15,10,5,20,0,0,0,0,0
10003863,10003863,ECONMIC,1,40,11,B,5,0,10,15,25,15,10,5,15,0,0,0,0,0
10003863,10003863,EDSTDSH,1,35,14,,5,0,20,20,20,20,5,10,5,0,0,0,0,0
10003863,10003863,EDURELG,1,15,13,094,0,0,10,40,20,10,5,10,0,0,0,0,0,0
10003863,10003863,EDURELG,1,145,13,105,2,0,10,15,24,18,9,10,9,1,0,1,0,0
10003863,10003863,ENGACWR,1,50,13,075,0,0,10,30,25,20,10,5,0,0,0,0,0,0
10003863,10003863,ENGAFIL,1,50,13,075,0,0,10,30,25,20,10,5,0,0,0,0,0,0
10003863,10003863,ENGAFIL,1,65,13,069,1,2,16,22,25,10,9,11,2,2,0,0,0,0
10003863,10003863,ENGAMED,1,10,14,,0,0,10,20,25,25,10,10,0,0,0,0,0,0
10003863,10003863,ENGLING,1,50,11,F,0,0,10,30,25,20,10,5,0,0,0,0,0,0
10003863,10003863,ENGLING,1,50,13,075,0,0,10,30,25,20,10,5,0,0,0,0,0,0
10003863,10003863,ENGLITE,1,50,13,075,0,0,10,30,25,20,10,5,0,0,0,0,0,0
10003863,10003863,EXHLFTN,1,25,13,058,5,0,10,20,20,15,10,5,10,0,0,0,0,0
10003863,10003863,EXHLFTN,1,100,13,018,2,0,5,10,20,19,8,12,16,6,0,0,1,0
10003863,10003863,EXHLNUT,1,15,13,007,5,0,10,25,25,20,10,5,0,0,0,0,0,0
10003863,10003863,EXHLNUT,1,25,13,058,5,0,10,20,20,15,10,5,10,0,0,0,0,0
10003863,10003863,EXHLNUT,1,100,13,018,2,0,5,10,20,19,8,12,16,6,0,0,1,0
10003863,10003863,EYRCSSH,1,70,14,,3,0,10,15,29,18,11,7,6,0,0,1,0,0
10003863,10003863,FILMSH,1,15,24,,5,0,30,35,15,0,15,0,0,0,0,0,0,0
10003863,10003863,FOPSYSH,1,35,14,,0,0,10,10,20,30,10,10,10,5,0,0,0,0
10003863,10003863,HISAPOL,1,25,13,090,0,10,15,15,15,25,10,5,5,0,0,0,0,0
10003863,10003863,HISAPOL,1,40,11,B,5,0,10,15,25,15,10,5,15,0,0,0,0,0
10003863,10003863,HISPHIL,1,15,13,093,0,5,10,20,35,10,10,10,0,0,0,0,0,0
10003863,10003863,HISPHIL,1,25,13,090,0,10,15,15,15,25,10,5,5,0,0,0,0,0
10003863,10003863,HISTOSH,1,25,14,,0,10,15,15,15,25,10,5,5,0,0,0,0,0
10003863,10003863,INTNLBS,1,20,13,061,0,0,10,20,15,35,10,10,0,0,0,0,0,0
10003863,10003863,JOUAPOL,1,50,13,073,0,0,5,30,20,10,15,10,0,0,0,0,0,0
10003863,10003863,JOUAPOL,1,40,11,B,5,0,10,15,25,15,10,5,15,0,0,0,0,0
10003863,10003863,JOURNSH,1,10,14,,0,0,10,45,35,10,0,0,0,0,0,0,0,0
10003863,10003863,MAJOUSH,1,15,24,,10,10,10,25,15,10,0,15,0,10,0,10,0,0
10003863,10003863,MEDAMKT,1,10,14,,10,10,10,35,15,0,15,10,0,0,0,0,0,0
10003863,10003863,MEDIASH,1,15,14,,0,5,25,10,20,20,10,5,5,0,0,0,0,0
10003863,10003863,NUTRITN,1,15,13,007,5,0,10,25,25,20,10,5,0,0,0,0,0,0
10003863,10003863,PEDEARL,1,55,14,,2,0,0,4,23,23,21,21,2,0,4,0,0,0
10003863,10003863,PEDLATE,1,55,14,,0,0,2,7,15,37,19,9,9,2,0,0,0,0
10003863,10003863,PHERESH,1,25,14,,0,5,10,20,35,10,10,10,0,0,0,0,0,0
10003863,10003863,PHLWELB,1,25,13,058,5,0,10,20,20,15,10,5,10,0,0,0,0,0
10003863,10003863,POLAINR,1,40,11,B,5,0,10,15,25,15,10,5,15,0,0,0,0,0
10003863,10003863,PPESCSH,1,30,14,,0,0,5,20,5,25,10,20,10,5,0,0,0,0
10003863,10003863,PPESDSH,1,100,13,018,2,0,5,10,20,19,8,12,16,6,0,0,1,0
10003863,10003863,PPESDSH,1,145,13,105,2,0,10,15,24,18,9,10,9,1,0,1,0,0
10003863,10003863,PSYCDSH,1,25,14,,0,0,5,10,15,30,20,15,5,0,0,0,0,0
10003863,10003863,PSYCHSH,1,35,14,,0,5,5,20,20,20,25,5,5,5,5,0,0,0
10003863,10003863,SECPESH,1,15,14,,0,0,0,0,15,15,5,5,40,15,0,5,0,0
10003863,10003863,SEPECSH,1,50,14,,5,0,5,10,25,10,10,15,15,0,0,0,0,0
10003863,10003863,SOCACRM,1,15,12,21,5,5,10,15,30,15,10,5,20,0,0,0,0,0
10003863,10003863,SOCIOSH,1,15,12,21,5,5,10,15,30,15,10,5,20,0,0,0,0,0
10003863,10003863,SPESDSH,1,15,14,,0,0,20,5,30,20,0,0,15,5,0,0,0,0
10003863,10003863,SPESNSH,1,15,13,007,5,0,10,25,25,20,10,5,0,0,0,0,0,0
10003863,10003863,SPESNSH,1,100,13,018,2,0,5,10,20,19,8,12,16,6,0,0,1,0
10003863,10003863,SPJOUSH,1,25,14,,0,0,5,20,15,15,25,15,0,0,0,0,0,5
10003863,10003863,SPPSYSH,1,15,24,,5,0,0,40,15,20,5,5,5,0,0,0,0,0
10003863,10003863,SPRTCHG,1,100,13,018,2,0,5,10,20,19,8,12,16,6,0,0,1,0
10003863,10003863,SPRTMAN,1,45,11,D,0,5,10,20,15,25,10,10,0,0,0,0,0,0
10003863,10003863,SPXSCSH,1,100,13,018,2,0,5,10,20,19,8,12,16,6,0,0,1,0
10003863,10003863,STRGCON,1,100,13,018,2,0,5,10,20,19,8,12,16,6,0,0,1,0
10003863,10003863,THRELSH,1,15,13,094,0,0,10,40,20,10,5,10,0,0,0,0,0,0
10003863,10003863,TVPRDSH,1,10,14,,0,0,10,10,55,0,10,20,0,0,0,0,0,0
10003863,10003863,WKWCYPF,1,30,14,,5,5,10,15,30,15,10,5,20,0,0,0,0,0
10003867,10003867,C0009,1,15,23,058,0,20,40,10,10,5,5,5,55,0,0,0,0,10
10003945,10003945,30900,1,25,14,,0,0,0,5,10,15,15,25,20,0,0,5,5,0
10003945,10003945,30936,1,20,14,,0,5,5,25,20,15,15,5,15,0,5,0,0,0
10003945,10003945,31215,1,20,24,,5,0,0,20,5,10,25,5,15,10,5,0,0,0
10003945,10003945,31216,1,25,14,,0,0,0,0,10,30,20,25,10,5,0,0,5,0
10003945,10003945,33333,1,20,14,,0,0,0,5,5,15,10,25,5,15,5,0,5,5
10003945,10003945,33342,1,20,14,,0,5,0,5,5,30,10,10,20,5,5,0,0,0
10003945,10003945,35603,1,10,14,,10,0,10,30,10,10,0,10,10,10,0,0,0,0
10003945,10003945,35687,1,25,14,,0,0,0,0,10,30,20,25,10,5,0,0,5,0
10003945,10003945,35760,1,25,14,,0,5,10,5,25,15,15,5,20,0,0,0,0,0
10003945,10003945,35761,1,25,14,,0,0,0,0,10,30,20,25,10,5,0,0,5,0
10003956,10003956,K3BIORSCJ05,1,25,22,05,0,5,5,10,35,15,10,15,5,0,0,0,0,0
10003956,10003956,K3BUSJ25,1,55,12,25,4,2,3,15,27,21,13,4,6,4,0,0,0,0
10003956,10003956,K3COMSCIJ13,1,35,12,13,0,0,5,15,15,35,5,15,10,0,0,0,0,0
10003956,10003956,K3EDUSTUJ40,1,155,12,40,0,0,1,12,24,18,13,19,10,1,1,1,0,0
10003956,10003956,K3ENGSTUJ31,1,40,12,31,5,0,5,25,25,15,15,5,0,5,0,0,0,0
10003956,10003956,K3FINACCJ27,1,20,12,27,0,5,5,15,50,10,10,10,5,0,0,0,0,0
10003956,10003956,K3HISARCJ34,1,25,12,34,0,0,5,20,40,25,10,5,0,0,0,0,0,0
10003956,10003956,K3LAWJ24,1,20,12,24,0,5,0,15,30,30,5,5,5,0,0,0,5,0
10003956,10003956,K3MATSCIJ12,1,15,22,12,5,5,5,15,30,30,5,0,5,0,5,0,0,0
10003956,10003956,K3MEDSTUJ29,1,20,12,29,0,0,10,25,30,20,0,5,5,0,0,0,0,0
10003956,10003956,K3OTCRARJ38,1,135,11,H,2,1,0,14,17,20,17,9,9,5,3,1,1,1
10003956,10003956,K3OTSCMEJ04,1,15,12,04,5,0,0,10,25,15,25,5,10,5,0,0,0,0
10003956,10003956,K3PERARTJ37,1,100,12,37,3,2,1,14,19,25,16,7,6,3,2,1,1,2
10003956,10003956,K3PHGEESJ11,1,10,12,11,5,5,10,5,30,10,30,5,5,5,0,0,0,0
10003956,10003956,K3PHTHRSJ35,1,40,12,35,0,0,5,15,35,20,15,5,0,0,0,0,0,0
10003956,10003956,K3POLJ20,1,25,12,20,0,0,5,15,35,30,15,0,0,0,0,0,0,0
10003956,10003956,K3PSYCJ07,1,90,12,07,0,0,1,14,27,27,7,10,10,2,1,1,1,0
10003956,10003956,K3SOCSPANJ21,1,90,12,21,1,2,3,11,31,16,15,10,9,1,0,1,1,0
10003956,10003956,K3SPOSCIJ06,1,75,12,06,2,1,1,6,33,20,9,15,10,3,0,0,0,0
10003956,10003956,K3TOUBAMJ28,1,15,12,28,5,10,0,20,5,5,15,10,30,0,0,0,0,0
10003956,10003956,KDFBAEACEDAF,1,155,13,105,0,0,1,12,24,18,13,19,10,1,1,1,0,0
10003956,10003956,KDFBAEDAELIF,1,40,13,075,5,0,5,25,25,15,15,5,0,5,0,0,0,0
10003956,10003956,KDFBAEDAELIF,1,155,13,105,0,0,1,12,24,18,13,19,10,1,1,1,0,0
10003956,10003956,KDFBAEDAHISF,1,25,13,090,0,0,5,20,40,25,10,5,0,0,0,0,0,0
10003956,10003956,KDFBAEDAHISF,1,155,13,105,0,0,1,12,24,18,13,19,10,1,1,1,0,0
10003956,10003956,KDFBAEDASENF,1,155,13,105,0,0,1,12,24,18,13,19,10,1,1,1,0,0
10003956,10003956,KDFBAELIHISF,1,40,13,075,5,0,5,25,25,15,15,5,0,5,0,0,0,0
10003956,10003956,KDFBAELIHISF,1,25,13,090,0,0,5,20,40,25,10,5,0,0,0,0,0,0
10003956,10003956,KDKBABMAF,1,45,13,061,5,0,5,15,25,25,15,5,0,5,0,0,0,0
10003956,10003956,KDKBAEACEDAF,1,155,13,105,0,0,1,12,24,18,13,19,10,1,1,1,0,0
10003956,10003956,KDKBAEDASENF,1,155,13,105,0,0,1,12,24,18,13,19,10,1,1,1,0,0
10003956,10003956,KUZBAACFF,1,15,14,,0,5,0,15,50,5,5,5,5,0,0,0,0,0
10003956,10003956,KUZBAARTF,1,20,14,,0,0,0,15,20,15,10,15,15,15,5,0,0,0
10003956,10003956,KUZBABMAF,1,25,14,,5,5,5,15,25,30,10,0,0,10,0,0,0,0
10003956,10003956,KUZBACREF,1,25,14,,0,5,0,10,35,20,10,5,0,5,0,0,5,5
10003956,10003956,KUZBACRMF,1,10,14,,0,10,0,10,35,25,0,15,10,0,0,0,0,0
10003956,10003956,KUZBADESF,1,15,14,,0,0,0,15,5,0,35,15,20,5,5,0,0,0
10003956,10003956,KUZBADMAF,1,30,14,,5,0,0,15,20,25,20,5,5,0,0,5,0,0
10003956,10003956,KUZBADSEF,1,50,13,054,0,5,5,15,35,15,10,10,10,0,0,0,0,0
10003956,10003956,KUZBAECSF,1,155,13,105,0,0,1,12,24,18,13,19,10,1,1,1,0,0
10003956,10003956,KUZBAELIF,1,10,14,,15,0,0,25,15,15,15,10,0,0,0,0,0,0
10003956,10003956,KUZBAENLF,1,25,24,,0,0,15,25,30,10,15,0,0,5,0,0,0,0
10003956,10003956,KUZBAHISF,1,15,14,,0,0,5,15,45,25,5,0,0,0,0,0,0,0
10003956,10003956,KUZBAHSOF,1,10,13,058,0,0,0,10,50,0,10,10,25,0,0,0,0,0
10003956,10003956,KUZBAMACF,1,15,14,,0,0,15,25,25,20,0,5,5,0,0,0,0,0
10003956,10003956,KUZBAMUSF,1,15,14,,5,0,0,20,5,25,20,20,5,0,5,0,0,0
10003956,10003956,KUZBAPHRF,1,15,14,,0,0,5,15,40,25,15,0,0,0,0,0,0,0
10003956,10003956,KUZBAPINF,1,10,24,,0,0,10,15,35,25,10,0,0,10,0,0,0,0
10003956,10003956,KUZBAPRQF,1,165,13,108,1,0,0,10,20,26,18,18,5,2,1,1,0,0
10003956,10003956,KUZBASOCF,1,50,13,054,0,5,5,15,35,15,10,10,10,0,0,0,0,0
10003956,10003956,KUZBASOWF,1,10,14,,0,0,0,10,50,0,10,10,25,0,0,0,0,0
10003956,10003956,KUZBATHEF,1,15,13,094,0,0,0,15,30,20,30,5,0,0,0,0,0,0
10003956,10003956,KUZBATHOF,1,15,13,094,0,0,0,15,30,20,30,5,0,0,0,0,0,0
10003956,10003956,KUZBATOMF,1,20,24,,5,5,10,20,5,20,5,10,15,0,0,0,0,0
10003956,10003956,KUZBSCBISF,1,25,23,012,0,5,5,10,35,15,10,15,5,0,0,0,0,0
10003956,10003956,KUZBSCCSCF,1,20,14,,0,0,10,15,10,40,10,15,5,0,0,0,0,0
10003956,10003956,KUZBSCEVSF,1,10,13,031,5,5,10,5,30,10,30,5,5,5,0,0,0,0
10003956,10003956,KUZBSCGEOF,1,10,13,031,5,5,10,5,30,10,30,5,5,5,0,0,0,0
10003956,10003956,KUZBSCMATF,1,15,23,032,5,5,5,15,30,30,5,0,5,0,5,0,0,0
10003956,10003956,KUZBSCNUTF,1,15,23,007,0,5,5,15,15,15,20,5,15,5,0,0,0,0
10003956,10003956,KUZBSCPSYF,1,45,14,,0,0,0,15,25,30,5,10,10,0,0,0,0,0
10003956,10003956,KUZBSCSESF,1,25,14,,0,0,5,5,40,20,5,20,5,0,0,0,0,0
10003956,10003956,KUZBSCSPHF,1,20,14,,5,0,0,5,35,15,10,5,15,5,0,0,0,0
10003956,10003956,KUZBSCSPSF,1,15,14,,0,0,0,15,30,15,15,5,20,0,5,0,0,0
10003956,10003956,KUZLLBLLBF,1,15,14,,0,5,0,15,35,30,0,0,5,0,0,0,5,0
10003957,10003957,3000000177,1,50,14,,5,0,0,5,10,25,10,10,20,5,0,0,0,0
10003957,10003957,3000000339,1,65,14,,0,0,2,0,19,23,19,22,8,3,2,3,0,0
10003957,10003957,3000000543,1,90,14,,0,0,2,0,23,41,18,7,6,2,0,1,0,0
10003957,10003957,3000000696,1,40,14,,0,0,0,0,10,30,25,10,20,0,0,0,0,0
10003957,10003957,3000000718,1,65,14,,0,0,0,0,6,23,17,23,19,3,0,6,0,2
10003957,10003957,3000001111,1,35,14,,0,0,0,5,10,15,30,15,20,0,0,0,5,0
10003957,10003957,3000001334,1,60,14,,0,0,2,8,31,32,18,2,3,0,3,0,0,2
10003957,10003957,3000001400,1,25,14,,0,0,0,5,15,35,15,20,10,5,0,0,0,0
10003957,10003957,3000001401,1,55,14,,0,0,2,4,15,25,34,9,8,2,0,2,0,0
10003957,10003957,3000001415,1,50,14,,0,0,0,0,10,30,15,20,15,5,0,0,0,0
10003957,10003957,3000001466,1,25,24,,0,0,0,5,10,20,35,5,20,10,0,0,0,0
10003957,10003957,3000001485,1,90,14,,0,1,1,10,12,31,22,8,8,4,1,0,0,0
10003957,10003957,3000001497,1,90,13,037,0,0,0,0,11,30,21,23,10,4,0,0,0,1
10003957,10003957,3000001606,1,90,14,,0,0,0,4,11,29,33,13,8,2,0,0,0,0
10003957,10003957,3000001614,1,140,14,,0,0,0,2,15,34,23,15,6,4,1,0,0,0
10003957,10003957,3000001621,1,10,24,,0,0,0,0,0,20,20,20,40,0,0,0,0,0
10003957,10003957,3000001627,1,10,24,,0,0,0,0,0,0,15,25,40,10,10,0,0,0
10003957,10003957,3000001680,1,220,14,,0,0,0,0,8,20,16,18,29,6,0,1,0,0
10003957,10003957,3000001701,1,15,14,,0,0,0,0,5,5,15,50,15,0,5,0,0,0
10003957,10003957,3000001702,1,50,14,,0,0,0,5,20,30,25,15,0,0,0,0,0,0
10003957,10003957,3000001749,1,50,14,,0,0,0,0,5,10,25,15,30,0,5,0,0,0
10003957,10003957,3000001766,1,45,14,,0,0,0,10,10,40,15,5,15,0,0,0,0,0
10003957,10003957,3000001788,1,15,24,,0,0,0,5,5,20,20,20,5,20,0,0,0,0
10003957,10003957,3000001819,1,15,24,,0,0,0,0,0,20,15,30,30,0,5,0,0,0
10003957,10003957,3000001859,1,25,14,,0,0,5,10,15,25,25,10,5,10,0,0,0,0
10003957,10003957,3000001896,1,145,13,105,0,0,1,2,12,33,17,15,13,3,2,1,1,1
10003957,10003957,3000001937,1,35,14,,0,0,0,5,25,25,20,15,10,0,0,0,0,0
10003957,10003957,3000001938,1,150,14,,1,1,1,1,17,33,17,15,10,2,1,1,0,1
10003957,10003957,3000001939,1,165,14,,0,0,2,2,15,22,29,16,9,3,1,1,1,0
10003957,10003957,3000001945,1,70,14,,0,0,0,0,19,36,26,9,9,1,0,0,0,1
10003957,10003957,3000001947,1,35,14,,0,0,0,0,15,20,10,20,35,0,0,0,0,0
10003957,10003957,3000001948,1,65,14,,0,2,0,2,12,27,26,11,14,3,3,0,0,2
10003957,10003957,3000001951,1,15,13,040,0,0,0,5,15,25,15,5,5,20,0,0,0,5
10003957,10003957,3000001961,1,15,14,,0,0,0,10,10,55,10,10,15,0,0,0,0,0
10003957,10003957,3000002005,1,35,14,,5,0,0,5,25,25,15,10,15,0,0,5,0,0
10003957,10003957,3000002021,1,70,14,,0,0,1,1,10,24,26,20,13,3,1,0,0,0
10003957,10003957,3000002060,1,60,14,,0,3,2,0,14,22,10,16,31,2,0,0,0,0
10003957,10003957,3000002062,1,40,14,,0,0,0,5,10,25,30,10,10,0,0,5,0,0
10003957,10003957,3000002099,1,15,14,,0,0,5,5,5,20,25,25,0,5,5,0,0,0
10003957,10003957,3000002152,1,30,14,,0,0,0,5,15,35,15,10,5,5,0,0,0,5
10003957,10003957,3000002213,1,20,14,,0,0,0,0,5,30,40,10,20,0,0,0,0,0
10003957,10003957,3000002236,1,15,14,,0,0,0,0,10,55,25,10,10,0,0,0,0,0
10003957,10003957,3000002329,1,30,14,,0,0,0,5,20,25,15,30,5,0,0,0,0,0
10003957,10003957,3000002420,1,70,14,,0,0,1,3,14,31,24,10,10,3,0,1,3,1
10003957,10003957,3000002434,1,30,14,,0,0,0,0,5,20,15,30,15,5,0,5,0,0
10003957,10003957,3000002479,1,10,13,045,0,0,0,0,0,0,35,25,35,0,10,0,0,0
10003957,10003957,3000002658,1,65,14,,0,0,0,3,12,32,23,23,5,2,2,0,0,0
10003957,10003957,3000002718,1,50,14,,0,0,0,0,15,15,30,20,10,5,0,0,0,0
10003957,10003957,3000002719,1,65,14,,0,0,3,0,20,34,11,15,9,2,5,0,2,0
10003957,10003957,3000002872,1,15,14,,0,5,0,0,20,25,5,30,10,5,0,0,0,0
10003957,10003957,3000002925,1,75,13,047,0,0,1,0,19,26,20,20,7,3,1,3,0,0
10003957,10003957,3000002943,1,75,14,,0,0,0,3,7,31,27,19,11,0,1,1,0,0
10003957,10003957,3000002945,1,35,14,,0,0,0,0,10,20,30,10,20,10,0,0,0,0
10003957,10003957,3000002947,1,25,14,,0,0,0,0,15,20,35,25,0,0,0,0,0,0
10003957,10003957,3000002948,1,15,24,,0,0,0,0,20,25,10,10,10,5,5,0,5,5
10003957,10003957,3000002950,1,60,14,,0,3,2,10,10,20,16,18,11,7,0,0,2,2
10003957,10003957,3000003101,1,10,14,,0,0,0,20,20,20,10,20,10,0,10,0,0,0
10003957,10003957,3000003106,1,40,14,,0,0,0,0,5,35,25,20,10,5,0,5,0,0
10003957,10003957,3000003117,1,30,14,,0,0,0,5,10,30,30,15,5,5,0,0,0,0
10003957,10003957,3000003121,1,15,14,,0,0,0,5,20,15,40,5,0,5,0,0,0,5
10003957,10003957,3000003295,1,80,13,048,0,0,4,7,13,26,20,13,9,4,1,1,0,2
10003957,10003957,3000003299,1,80,13,048,0,0,4,7,13,26,20,13,9,4,1,1,0,2
10003957,10003957,3000003303,1,35,14,,0,0,5,0,15,45,10,15,10,0,5,0,0,0
10003957,10003957,3000009352,1,35,14,,0,0,0,5,20,30,30,5,10,5,0,0,0,0
10003957,10003957,3000011882,1,50,14,,0,0,0,5,5,20,20,10,20,5,0,0,0,0
10003957,10003957,3500000003,1,20,14,,0,0,0,5,10,25,15,25,20,0,0,0,0,0
10003957,10003957,3500000004,1,15,14,,0,0,0,0,15,30,40,15,5,0,0,0,0,0
10003957,10003957,3500000023,1,25,14,,0,0,0,0,20,15,40,20,0,0,0,0,0,5
10003957,10003957,3500000130,1,15,14,,10,0,0,0,0,30,25,25,15,0,0,0,0,0
10003957,10003957,3500000458,1,100,14,,0,0,0,3,4,17,23,24,24,4,0,0,0,0
10003957,10003957,3500000482,1,125,14,,1,2,1,3,13,35,23,14,6,0,2,1,0,0
10003957,10003957,3500000866,1,35,14,,0,5,5,5,25,25,10,15,10,0,0,0,5,0
10003957,10003957,3500001038,1,45,14,,0,0,0,10,20,25,20,10,5,5,0,0,0,0
10003957,10003957,3500001343,1,60,14,,0,0,2,3,17,29,17,19,8,2,2,2,0,0
10003957,10003957,3500001429,1,20,23,036,0,0,0,0,15,30,25,20,10,0,0,0,0,0
10003957,10003957,3500001895,1,50,14,,0,0,0,0,10,30,25,20,10,0,0,5,0,0
10003957,10003957,3500002078,1,80,13,048,0,0,4,7,13,26,20,13,9,4,1,1,0,2
10003957,10003957,3500002085,1,455,13,060,0,0,1,4,14,30,23,14,10,3,1,0,0,1
10003957,10003957,3500002316,1,420,13,018,0,0,1,1,7,17,18,19,26,5,1,1,1,2
10003957,10003957,3500002317,1,420,13,018,0,0,1,1,7,17,18,19,26,5,1,1,1,2
10003957,10003957,3500002318,1,420,13,018,0,0,1,1,7,17,18,19,26,5,1,1,1,2
10003957,10003957,3500002319,1,420,13,018,0,0,1,1,7,17,18,19,26,5,1,1,1,2
10003957,10003957,3500002332,1,40,13,025,0,0,0,5,20,15,25,25,10,0,5,0,0,0
10003957,10003957,3500003316,1,150,13,005,0,1,0,2,9,19,23,24,19,3,0,0,0,1
10003957,10003957,3500003317,1,150,13,005,0,1,0,2,9,19,23,24,19,3,0,0,0,1
10003957,10003957,3500003336,1,55,13,041,2,2,0,4,11,21,25,17,9,6,0,0,2,2
10003957,10003957,3500003337,1,55,13,041,2,2,0,4,11,21,25,17,9,6,0,0,2,2
10003957,10003957,3500003338,1,55,13,041,2,2,0,4,11,21,25,17,9,6,0,0,2,2
10003957,10003957,3500003339,1,55,13,041,2,2,0,4,11,21,25,17,9,6,0,0,2,2
10003957,10003957,3500003340,1,55,13,041,2,2,0,4,11,21,25,17,9,6,0,0,2,2
10003957,10003957,3500003341,1,55,13,041,2,2,0,4,11,21,25,17,9,6,0,0,2,2
10003957,10003957,3500003342,1,90,13,037,0,0,0,0,11,30,21,23,10,4,0,0,0,1
10003957,10003957,3500003344,1,90,13,037,0,0,0,0,11,30,21,23,10,4,0,0,0,1
10003957,10003957,3500003345,1,15,13,040,0,0,0,5,15,25,15,5,5,20,0,0,0,5
10003957,10003957,3500003347,1,10,24,,0,0,0,0,20,25,0,35,10,0,0,0,0,10
10003957,10003957,3500003348,1,15,13,040,0,0,0,5,15,25,15,5,5,20,0,0,0,5
10003957,10003957,3500003349,1,15,13,040,0,0,0,5,15,25,15,5,5,20,0,0,0,5
10003957,10003957,3500003350,1,90,13,037,0,0,0,0,11,30,21,23,10,4,0,0,0,1
10003957,10003957,3500003351,1,90,13,037,0,0,0,0,11,30,21,23,10,4,0,0,0,1
10003957,10003957,3500003355,1,15,13,040,0,0,0,5,15,25,15,5,5,20,0,0,0,5
10003957,10003957,3500003356,1,15,13,040,0,0,0,5,15,25,15,5,5,20,0,0,0,5
10003957,10003957,3500003357,1,15,13,040,0,0,0,5,15,25,15,5,5,20,0,0,0,5
10003957,10003957,3500003361,1,215,13,035,0,0,0,3,10,22,22,21,15,3,0,0,1,0
10003957,10003957,3500003362,1,215,13,035,0,0,0,3,10,22,22,21,15,3,0,0,1,0
10003957,10003957,3500003364,1,215,13,035,0,0,0,3,10,22,22,21,15,3,0,0,1,0
10003957,10003957,3500003366,1,215,13,035,0,0,0,3,10,22,22,21,15,3,0,0,1,0
10003957,10003957,3500003368,1,215,13,035,0,0,0,3,10,22,22,21,15,3,0,0,1,0
10003957,10003957,3500003369,1,60,14,,0,0,2,3,7,22,27,22,14,2,0,0,2,0
10003957,10003957,3500003370,1,215,13,035,0,0,0,3,10,22,22,21,15,3,0,0,1,0
10003957,10003957,3500003371,1,40,14,,0,0,0,5,5,15,30,20,20,10,0,0,0,0
10003957,10003957,3500003372,1,215,13,035,0,0,0,3,10,22,22,21,15,3,0,0,1,0
10003957,10003957,3500003373,1,215,13,035,0,0,0,3,10,22,22,21,15,3,0,0,1,0
10003957,10003957,3500003374,1,30,14,,0,0,0,5,5,30,5,15,25,5,0,0,5,0
10003957,10003957,3500003383,1,40,14,,0,0,0,5,5,15,30,20,20,10,0,0,0,0
10003957,10003957,3500003384,1,60,14,,0,0,2,3,7,22,27,22,14,2,0,0,2,0
10003957,10003957,3500003385,1,30,14,,0,0,0,5,5,30,5,15,25,5,0,0,5,0
10003957,10003957,3500003386,1,10,24,,0,0,0,0,20,25,0,35,10,0,0,0,0,10
10003957,10003957,3500003391,1,110,14,,0,0,0,0,3,25,31,15,13,6,2,3,3,1
10003957,10003957,3500003394,1,80,13,048,0,0,4,7,13,26,20,13,9,4,1,1,0,2
10003957,10003957,3500006337,1,60,14,,0,3,2,0,14,22,10,16,31,2,0,0,0,0
10003957,10003957,3500006340,1,40,14,,0,0,0,5,10,25,30,10,10,0,0,5,0,0
10003957,10003957,3500006343,1,30,14,,0,0,0,5,20,25,15,30,5,0,0,0,0,0
10003957,10003957,3500006346,1,70,14,,0,0,0,0,19,36,26,9,9,1,0,0,0,1
10003957,10003957,3500006349,1,35,14,,0,0,0,0,15,20,10,20,35,0,0,0,0,0
10003957,10003957,3500006352,1,65,14,,0,2,0,2,12,27,26,11,14,3,3,0,0,2
10003957,10003957,3500006355,1,40,13,025,0,0,0,5,20,15,25,25,10,0,5,0,0,0
10003957,10003957,3500006363,1,65,14,,0,0,0,3,12,32,23,23,5,2,2,0,0,0
10003957,10003957,3500006366,1,35,14,,0,0,0,5,10,15,30,15,20,0,0,0,5,0
10003957,10003957,3500006561,1,40,24,,0,0,0,5,10,35,20,15,5,0,0,0,0,0
10003957,10003957,3500006570,1,40,14,,0,0,0,5,5,15,30,20,20,10,0,0,0,0
10003957,10003957,3500006571,1,215,13,035,0,0,0,3,10,22,22,21,15,3,0,0,1,0
