PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,TARPOP,TARAGG,TARSBJ,T001,T048,T064,T080,T096,T112,T128,T144,T160,T176,T192,T208,T224,T240
10000291,10000291,K00083,1,10,14,,0,0,50,15,15,15,0,0,0,0,0,0,0,0
10000291,10000291,K00085,1,115,13,061,6,12,25,18,11,8,10,4,4,0,1,0,0,0
10000291,10000291,K00086,1,110,12,04,2,6,12,15,19,23,13,6,3,0,0,1,0,0
10000291,10000291,K00087,1,140,12,21,5,10,19,23,16,9,4,7,5,1,1,0,0,0
10000291,10000291,K00091,1,45,13,058,5,5,20,10,5,10,15,10,20,0,0,0,0,0
10000291,10000291,K00092,1,155,13,035,8,12,17,24,16,10,3,6,2,1,1,0,0,0
10000291,10000291,K00095,1,15,13,065,0,15,5,45,5,5,5,15,5,0,0,0,0,0
10000291,10000291,K00096,1,115,13,061,6,12,25,18,11,8,10,4,4,0,1,0,0,0
10000291,10000291,K00098,1,25,13,062,10,15,15,25,15,15,5,5,0,0,0,0,0,0
10000291,10000291,K00099,1,155,13,035,8,12,17,24,16,10,3,6,2,1,1,0,0,0
10000291,10000291,K00100,1,25,23,041,0,15,10,25,20,10,10,0,10,0,0,0,0,0
10000291,10000291,K00101,1,35,13,040,0,5,15,25,25,15,5,5,5,0,0,0,5,5
10000291,10000291,K00102,1,20,13,037,15,0,10,30,20,5,15,0,5,5,0,0,0,0
10000291,10000291,K00103,1,20,13,047,5,5,20,15,40,0,0,10,0,0,0,0,0,0
10000291,10000291,K00104,1,65,11,9,5,5,11,28,22,11,9,2,5,2,0,0,2,2
10000291,10000291,K00105,1,15,13,065,0,15,5,45,5,5,5,15,5,0,0,0,0,0
10000291,10000291,K00106,1,15,13,048,0,5,0,25,5,25,5,15,20,0,0,0,0,0
10000291,10000291,K00107,1,15,13,064,10,25,25,10,15,10,0,0,15,0,0,0,0,0
10000291,10000291,K00108,1,30,14,,0,0,0,5,5,15,30,10,30,5,0,0,0,0
10000291,10000291,K00109,1,45,14,,5,0,0,10,15,25,10,10,25,0,0,0,0,0
10000291,10000291,K00110,1,105,12,37,6,3,14,15,24,13,10,12,3,0,0,0,0,0
10000291,10000291,K00111,1,15,14,,0,10,35,20,5,5,5,5,10,0,0,0,0,0
10000291,10000291,K00114,1,30,13,052,5,15,20,15,20,20,0,0,5,0,0,0,0,0
10000291,10000291,K00115,1,155,13,035,8,12,17,24,16,10,3,6,2,1,1,0,0,0
10000291,10000291,K00116,1,15,14,,0,15,35,25,20,0,0,5,0,0,0,0,0,0
10000291,10000291,K00117,1,15,13,065,0,15,5,45,5,5,5,15,5,0,0,0,0,0
10000291,10000291,K00118,1,40,13,063,5,10,20,25,10,10,5,10,15,5,0,0,0,0
10000291,10000291,K00119,1,20,14,,0,0,10,20,10,10,10,10,20,0,0,0,0,0
10000291,10000291,K00120,1,25,23,041,0,15,10,25,20,10,10,0,10,0,0,0,0,0
10000291,10000291,K00121,1,155,13,035,8,12,17,24,16,10,3,6,2,1,1,0,0,0
10000291,10000291,K00122,1,155,13,035,8,12,17,24,16,10,3,6,2,1,1,0,0,0
10000291,10000291,K00123,1,155,13,035,8,12,17,24,16,10,3,6,2,1,1,0,0,0
10000291,10000291,K00125,1,20,24,,0,0,40,25,15,10,0,5,0,0,5,0,0,0
10000291,10000291,K00126,1,20,14,,5,0,0,5,5,15,25,15,25,5,0,5,0,0
10000291,10000291,K00127,1,15,13,048,0,5,0,25,5,25,5,15,20,0,0,0,0,0
10000291,10000291,K00128,1,120,13,027,7,20,19,20,6,6,4,7,7,1,2,0,0,2
10000291,10000291,K00129,1,15,13,065,0,15,5,45,5,5,5,15,5,0,0,0,0,0
10000291,10000291,K00130,1,15,13,065,0,15,5,45,5,5,5,15,5,0,0,0,0,0
10000291,10000291,K00131,1,80,13,066,6,10,28,22,15,12,2,4,0,0,0,0,0,0
10000291,10000291,K00132,1,120,13,027,7,20,19,20,6,6,4,7,7,1,2,0,0,2
10000291,10000291,K00133,1,40,13,063,5,10,20,25,10,10,5,10,15,5,0,0,0,0
10000291,10000291,K00140,1,20,24,,0,20,15,20,20,0,10,0,5,0,0,0,0,0
10000291,10000291,K00141,1,25,23,041,0,15,10,25,20,10,10,0,10,0,0,0,0,0
