AccreditingBodyName,AccreditionType,HEP,KisCourseTitle,KiscourseID
American Veterinary Medical Association (AVMA),Accredited by the American Veterinary Medical Association (AVMA).,(10007779) The Royal Veterinary College,BVetMed (Hons) ,UBVETMD
American Veterinary Medical Association (AVMA),Accredited by the American Veterinary Medical Association (AVMA).,(10007779) The Royal Veterinary College,BVetMed (Hons) Veterinary Gateway Programme,UBVETMG
American Veterinary Medical Association (AVMA),Accredited by the American Veterinary Medical Association (AVMA).,(10007779) The Royal Veterinary College,BVetMed (Hons) with Intercalated Year,UBVETMI
American Veterinary Medical Association (AVMA),Accredited by the American Veterinary Medical Association (AVMA).,(10007790) The University of Edinburgh,BVMS (Hons) Veterinary Medicine,UTCLIVMBVMS
American Veterinary Medical Association (AVMA),Accredited by the American Veterinary Medical Association (AVMA).,(10007794) The University of Glasgow,BVMS Veterinary Medicine and Surgery,D100-2104
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10000291) Anglia Ruskin University,BA (Hons) Architecture,K00143
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10000886) The University of Brighton,BA (Hons) Architecture,H1EA008MUU
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10001726) Coventry University,BSc (Hons) Architecture,15
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10001883) De Montfort University,BA (Hons) Architecture,K100DM
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10001883) De Montfort University,BA (Hons) Architecture,K100DM
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10002681) Glasgow School of Art,BArch (Hons) Architecture,ARCHBFT
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10002681) Glasgow School of Art,BArch Architecture,ARCHBPT
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10003678) Kingston University,BA (Hons) Architecture,BAHUFARC1ARC01
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10003861) Leeds Beckett University,BA (Hons) Architecture,ARCHA
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10003861) Leeds Beckett University,BA (Hons) Architecture,ARCHA
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10003957) Liverpool John Moores University,BA (Hons) Architecture,3000000339
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10004048) London Metropolitan University,BA (Hons) Architecture,UDARCHIT
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10004048) London Metropolitan University,BA (Hons) Architecture,UDARCHIT
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10004078) London South Bank University,BA (Hons) Architecture,101A
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10004078) London South Bank University,BA (Hons) Architecture,101A
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10004180) The Manchester Metropolitan University,BA (Hons) Architecture,K0140
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10004775) Norwich University of the Arts,BA (Hons) Architecture,UBAARCFT
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10005343) The Queen's University of Belfast,BSc (Hons) Architecture,ARC-BSC-S
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10005500) The Robert Gordon University,MArch Architecture,UMAFTACAA
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10005790) Sheffield Hallam University,BSc (Hons) Architecture,12101
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10006427) University for the Creative Arts,BA (Hons) Architecture,CARCFBAH
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10006842) The University of Liverpool,BA (Hons) Architecture,BA_ARCH
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007140) Birmingham City University,BA (Hons) Architecture,US0100-00
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007140) Birmingham City University,BA (Hons) Architecture,US0100-00
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007141) The University of Central Lancashire,BSc (Hons) Architecture,BXARCT100
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007141) The University of Central Lancashire,BSc (Hons) Architecture,ULARCT111
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007146) The University of Greenwich,BA (Hons) Architecture,K0015
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007146) The University of Greenwich,BA (Hons) Architecture,K0015
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007148) The University of Huddersfield,BA (Hons) Architecture/Architecture (International) (RIBA Part 1),00000309
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007150) The University of Kent,BA (Hons) Architecture,ARCHITECTURE_BA_K100
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007151) The University of Lincoln,BArch Bachelor Of Architecture,ARCBOAUB
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007154) The University of Nottingham,BArch (Hons) Architecture,K100
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007154) The University of Nottingham,MEng (Hons) Architecture and Environmental Design,K230
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007155) The University of Portsmouth,BA (Hons) Architecture,C0132
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007157) The University of Sheffield,BA (Hons) Architecture,K100
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007157) The University of Sheffield,BA (Hons) Architecture and Landscape,KK13
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007157) The University of Sheffield,MEng (Hons) Structural Engineering and Architecture,HK21
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,"(10007164) University of the West of England, Bristol",BA (Hons) Architecture and Planning,KK14
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,"(10007164) University of the West of England, Bristol",BA (Hons) Architecture and Planning,KK1F
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,"(10007164) University of the West of England, Bristol",BEng (Hons) Architecture and Environmental Engineering,KH12
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,"(10007164) University of the West of England, Bristol",BSc (Hons) Architecture,K100
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,"(10007164) University of the West of England, Bristol",BSc (Hons) Architecture,K10F
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007788) The University of Cambridge,BA (Hons) Architecture,UG_ARTX_KIS
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007799) The University of Newcastle-upon-Tyne,BA (Hons) Architecture,objid50011014
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007801) The University of Plymouth,BA (Hons) Architecture,0114
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007802) The University of Reading,BSc (Hons) Architecture,UFARCHITECT
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007807) University of Ulster,BA (Hons) Architecture,1034
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 1 level for the purpose of registration in the UK.,(10007850) The University of Bath,BSc (Hons) Architecture,UUUR1-K100~UEAR-ANB08
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 2 level for the purpose of registration in the UK.,(10001282) University of Northumbria at Newcastle,BA (Hons) Architecture,21FAHE-N-AHE1
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 2 level for the purpose of registration in the UK.,(10001282) University of Northumbria at Newcastle,MArch Master of Architecture,21FAHT-N-AHT1
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 2 level for the purpose of registration in the UK.,(10001282) University of Northumbria at Newcastle,MArch Master of Architecture,21PAHT-N-AHT1
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 2 level for the purpose of registration in the UK.,(10004797) The Nottingham Trent University,BArch (Hons) Architecture,ARCH001_1
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 2 level for the purpose of registration in the UK.,(10004797) The Nottingham Trent University,MArch (Hons) Architecture,ARCH017_1
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) at Part 2 level for the purpose of registration in the UK.,(10005500) The Robert Gordon University,MArch Architecture,UMAFTACAA
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10000385) The Arts University Bournemouth,BA (Hons) Architecture,BAARC
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10003200) Hull College,BA (Hons) Architecture,K101
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10003200) Hull College,BA (Hons) Architecture,K101
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10004048) London Metropolitan University,BA (Hons) Architecture,UDARCHIT
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10004048) London Metropolitan University,BA (Hons) Architecture,UDARCHIT
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10006427) University for the Creative Arts,BA (Hons) Architecture,CARCFBAH
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10007144) The University of East London,BSc (Hons) Architecture (ARB/RIBA Part 1),SM0475
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10007157) The University of Sheffield,BA (Hons) Architecture,K100
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10007157) The University of Sheffield,BA (Hons) Architecture and Landscape,KK13
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10007157) The University of Sheffield,MEng (Hons) Structural Engineering and Architecture,HK21
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,"(10007164) University of the West of England, Bristol",BA (Hons) Architecture and Planning,KK1F
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10007784) University College London,BSc (Hons) Architecture,UBSARCSING05
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10007790) The University of Edinburgh,MA (Hons) Architecture,UTARCHMAH
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10007805) The University of Strathclyde,BSc (Hons) Architectural Studies,KIS0000123
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10007814) Cardiff University,MArch Architecture,UFMRARCA
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10007852) The University of Dundee,MArch (Hons) Architecture,K100
Architects Registration Board (ARB),Prescribed by the Architects Registration Board (ARB) for the purpose of registration in the UK.,(10007852) The University of Dundee,MArch (Hons) Architecture Studies,K103
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10000571) Bath Spa University,BSc (Hons) Human Nutrition,BS-HN
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10000824) Bournemouth University,BSc (Hons) Nutrition,BSNF_B400
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10003645) King's College London,BSc (Hons) Nutrition,UBSH3MSNT
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10003678) Kingston University,BSc (Hons) Nutrition (Human Nutrition),BSHSUSNHN1NHN01
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10003678) Kingston University,BSc (Hons) Nutrition (Human Nutrition),BSHUFNHN1NHN01
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10003678) Kingston University,BSc (Hons) Nutrition (Human Nutrition),BSHUFNHN1NHN01
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10003678) Kingston University,BSc (Hons) Nutrition (Human Nutrition),BSHUFNHN1NHN02
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10003861) Leeds Beckett University,BSc (Hons) Nutrition,BSCNU
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10003956) Liverpool Hope University,BSc (Hons) Nutrition,KUZBSCNUTF
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10004048) London Metropolitan University,BSc (Hons) Human Nutrition,UDHUMNUT
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10004048) London Metropolitan University,BSc (Hons) Human Nutrition,UDHUMNUT
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10004078) London South Bank University,BSc (Hons) Human Nutrition,3998A
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10004180) The Manchester Metropolitan University,BSc (Hons) Nutritional Sciences,K0008
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10004930) Oxford Brookes University,BSc (Hons) Nutrition,MC10-NN
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10004930) Oxford Brookes University,BSc (Hons) Nutrition,MC10-NN
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,"(10005337) Queen Margaret University, Edinburgh",BSc (Hons) Nutrition,BSHNUTS
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10005500) The Robert Gordon University,BSc (Hons) Nutrition,UBSFTASNU
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10005790) Sheffield Hallam University,BSc (Hons) Nutrition and Public Health,11459
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10005790) Sheffield Hallam University,"BSc (Hons) Nutrition, Diet and Lifestyle",11458
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007146) The University of Greenwich,BSc (Hons) Human Nutrition,K0265
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007146) The University of Greenwich,BSc (Hons) Human Nutrition,K0265
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007146) The University of Greenwich,BSc (Hons) Human Nutrition (Extended),K0544
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007148) The University of Huddersfield,"BSc (Hons) Food, Nutrition and Health",00000030
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007148) The University of Huddersfield,BSc (Hons) Nutrition and Public Health,00000882
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007152) University of Bedfordshire,"BSc (Hons) Health, Nutrition and Exercise",BSHNEABF
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007154) The University of Nottingham,BSc (Hons) Animal Science,D320
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007154) The University of Nottingham,BSc (Hons) Nutrition,B400
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007160) The University of Surrey,BSc (Hons) Nutrition,UCA10F0001U
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007160) The University of Surrey,BSc (Hons) Nutrition,UCA10S0001U
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007165) The University of Westminster,BSc (Hons) Human Nutrition,U09FFHNT
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007165) The University of Westminster,BSc (Hons) Human Nutrition,U09FUHNT
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007776) Roehampton University,BSc (Hons) Nutrition and Health,B400
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007795) The University of Leeds,BSc (Hons) Nutrition,B400
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007799) The University of Newcastle-upon-Tyne,BSc (Hons) Food and Human Nutrition,objid50010833
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007799) The University of Newcastle-upon-Tyne,BSc (Hons) Nutrition with Food Marketing,objid51317979
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007801) The University of Plymouth,"BSc (Hons) Nutrition, Exercise and Health",4455
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007802) The University of Reading,BSc (Hons) Nutrition and Food Science,UFNUTFDSC
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007802) The University of Reading,BSc (Hons) Nutrition and Food Science with Professional Training,UFNUTFSWY
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007802) The University of Reading,BSc (Hons) Nutrition with Food Consumer Sciences,UFNUTFCON
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007802) The University of Reading,BSc (Hons) Nutrition with Food Consumer Sciences with Professional Training,UFNUTFCONWPX
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007807) University of Ulster,BSc (Hons) Human Nutrition,3891
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,"(10007843) St Mary's University, Twickenham",BSc (Hons) Nutrition,UNUSH
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007848) University of Chester,BSc (Hons) Human Nutrition,UBSB400-K
Association for Nutrition (AfN),Accredited by the Association for Nutrition (AfN) for the purpose of eligibility for Direct Entry Registration at Associate Level with the UK Voluntary Register of Nutritionists (UKVRN).,(10007854) Cardiff Metropolitan University,BSc (Hons) Nutrition,B490
Association for Project Management (APM),"APM Academic Accreditation assesses programmes or modules to help students and professionals choose the best education in support of their project management careers. Academic Accreditation identifies courses and modules which are aligned to the APM Body of Knowledge, 6th edition. Working with other accreditation streams we offer clear, visible and joined-up career progression opportunities.",(10000754) Blackpool and the Fylde College,FD Project Management,EM1HE508
Association for Project Management (APM),"APM Academic Accreditation assesses programmes or modules to help students and professionals choose the best education in support of their project management careers. Academic Accreditation identifies courses and modules which are aligned to the APM Body of Knowledge, 6th edition. Working with other accreditation streams we offer clear, visible and joined-up career progression opportunities.",(10000754) Blackpool and the Fylde College,FD Project Management,EM1HE508
Association for Project Management (APM),"APM Academic Accreditation assesses programmes or modules to help students and professionals choose the best education in support of their project management careers. Academic Accreditation identifies courses and modules which are aligned to the APM Body of Knowledge, 6th edition. Working with other accreditation streams we offer clear, visible and joined-up career progression opportunities.",(10003861) Leeds Beckett University,BSc (Hons) Project Management,PROMT
Association for Project Management (APM),"APM Academic Accreditation assesses programmes or modules to help students and professionals choose the best education in support of their project management careers. Academic Accreditation identifies courses and modules which are aligned to the APM Body of Knowledge, 6th edition. Working with other accreditation streams we offer clear, visible and joined-up career progression opportunities.",(10003861) Leeds Beckett University,BSc (Hons) Project Management,PROMT
Association for Project Management (APM),"APM Academic Accreditation assesses programmes or modules to help students and professionals choose the best education in support of their project management careers. Academic Accreditation identifies courses and modules which are aligned to the APM Body of Knowledge, 6th edition. Working with other accreditation streams we offer clear, visible and joined-up career progression opportunities.",(10004078) London South Bank University,BA (Hons) Marketing with Project Management,4883A
Association for Project Management (APM),"APM Academic Accreditation assesses programmes or modules to help students and professionals choose the best education in support of their project management careers. Academic Accreditation identifies courses and modules which are aligned to the APM Body of Knowledge, 6th edition. Working with other accreditation streams we offer clear, visible and joined-up career progression opportunities.",(10004180) The Manchester Metropolitan University,BA (Hons) Marketing Management,K0239
Association for Project Management (APM),"APM Academic Accreditation assesses programmes or modules to help students and professionals choose the best education in support of their project management careers. Academic Accreditation identifies courses and modules which are aligned to the APM Body of Knowledge, 6th edition. Working with other accreditation streams we offer clear, visible and joined-up career progression opportunities.",(10004180) The Manchester Metropolitan University,BA (Hons) Marketing Management,K0242
Association for Project Management (APM),"APM Academic Accreditation assesses programmes or modules to help students and professionals choose the best education in support of their project management careers. Academic Accreditation identifies courses and modules which are aligned to the APM Body of Knowledge, 6th edition. Working with other accreditation streams we offer clear, visible and joined-up career progression opportunities.",(10004180) The Manchester Metropolitan University,BA (Hons) Marketing Management,K0243
Association for Project Management (APM),"APM Academic Accreditation assesses programmes or modules to help students and professionals choose the best education in support of their project management careers. Academic Accreditation identifies courses and modules which are aligned to the APM Body of Knowledge, 6th edition. Working with other accreditation streams we offer clear, visible and joined-up career progression opportunities.",(10004180) The Manchester Metropolitan University,BA (Hons) Marketing Management,K0612
Association for Project Management (APM),"APM Academic Accreditation assesses programmes or modules to help students and professionals choose the best education in support of their project management careers. Academic Accreditation identifies courses and modules which are aligned to the APM Body of Knowledge, 6th edition. Working with other accreditation streams we offer clear, visible and joined-up career progression opportunities.",(10004180) The Manchester Metropolitan University,BSc (Hons) Business Technology,K0486
Association for Project Management (APM),"APM Academic Accreditation assesses programmes or modules to help students and professionals choose the best education in support of their project management careers. Academic Accreditation identifies courses and modules which are aligned to the APM Body of Knowledge, 6th edition. Working with other accreditation streams we offer clear, visible and joined-up career progression opportunities.",(10004180) The Manchester Metropolitan University,BSc (Hons) Business Technology,K0487
Association for Project Management (APM),"APM Academic Accreditation assesses programmes or modules to help students and professionals choose the best education in support of their project management careers. Academic Accreditation identifies courses and modules which are aligned to the APM Body of Knowledge, 6th edition. Working with other accreditation streams we offer clear, visible and joined-up career progression opportunities.",(10004180) The Manchester Metropolitan University,BSc (Hons) Business Technology,K0488
