PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,SBJ
10000291,10000291,K00185,1,012
10000291,10000291,K00186,2,058
10000291,10000291,K00187,2,006
10000291,10000291,K00188,1,017
10000291,10000291,K00189,1,021
10000291,10000291,K00190,1,012
10000291,10000291,K00191,1,013
10000291,10000291,K00192,1,013
10000291,10000291,K00193,1,018
10000291,10000291,K00194,1,018
10000291,10000291,K00195,1,018
10000291,10000291,K00196,1,018
10000291,10000291,K00199,1,006
10000291,10000291,K00200,1,027
10000291,10000291,K00201,1,027
10000291,10000291,K00202,1,027
10000291,10000291,K00242,1,066
10000291,10000291,K00244,1,012
10000291,10000291,K00246,1,035
10000291,10000291,K00247,1,035
10000291,10000291,K00248,1,048
10000291,10000291,K00249,1,027
10000291,10000291,K00250,1,027
10000291,10000291,K00256,1,054
10000291,10000291,K00258,1,054
10000291,10000291,K00259,1,054
10000291,10000291,K00260,1,018
10000291,10000291,K00264,1,005
10000291,10000291,K00265,1,024
10000291,10000291,K00266,1,024
10000291,10000291,K00267,1,021
10000291,10000291,K00268,1,021
10000291,10000291,K00277,2,041
10000291,10000291,K00278,2,041
10000291,10000291,K00283,2,048
10000291,10000291,K00286,2,035
10000291,10000291,K00289,2,048
10000291,10000291,K00290,1,064
10000291,10000291,K00291,1,065
10000291,10000291,K00292,1,063
10000291,10000291,K00293,1,027
10000291,10000291,K00295,1,106
10000291,10000291,K00297,1,065
10000291,10000291,K00298,1,063
10000291,10000291,K00299,1,008
10000291,10000291,K00300,1,005
10000291,10000291,K00306,1,061
10000291,10000291,K00308,1,005
10000291,10000291,K00309,1,021
10000291,10000291,K00310,1,061
10000291,10000291,K00311,2,037
10000291,10000291,K00312,1,011
10000291,10000291,K00314,1,063
10000291,10000291,K00316,1,065
10000291,10000291,K00318,2,063
10000291,10000291,K00320,1,012
10000291,10000291,K00322,2,048
10000291,10000291,K00323,1,003
10000291,10000291,K00324,1,003
10000291,10000291,K00325,2,103
10000291,10000291,K00326,1,007
10000291,10000291,K00327,1,007
10000291,10000291,K00328,1,098
10000291,10000291,K00329,1,004
10000291,10000291,K00330,1,004
10000291,10000291,K00331,1,053
10000291,10000291,K00332,2,061
10000291,10000291,K00333,2,041
10000291,10000291,K00334,2,058
10000291,10000291,K00335,2,048
10000291,10000291,K00338,2,011
10000291,10000291,K00339,2,018
10000291,10000291,K00340,2,091
10000291,10000291,K00341,2,054
10000291,10000291,K00342,2,052
10000291,10000291,K00345,2,103
10000291,10000291,K00346,2,105
10000291,10000291,K00347,2,055
10000291,10000291,K00352,2,066
10000291,10000291,K00353,2,012
10000291,10000291,K00354,2,027
10000291,10000291,K00356,2,018
10000291,10000291,K00357,2,064
10000291,10000291,K00358,2,063
10000291,10000291,K00359,2,061
10000291,10000291,K00360,2,061
10000291,10000291,K00361,2,061
10000291,10000291,K00362,2,063
10000291,10000291,K00363,2,075
10000291,10000291,K00364,2,035
10000291,10000291,K00442,1,075
10000385,10000385,BAACT,1,098
10000385,10000385,BAAEP,1,067
10000385,10000385,BAANP,1,100
10000385,10000385,BAARC,1,047
10000385,10000385,BACPH,1,100
10000385,10000385,BACRW,1,101
10000385,10000385,BACSS,1,098
10000385,10000385,BADAN,1,099
10000385,10000385,BAFAR,1,095
10000385,10000385,BAFCO,1,096
10000385,10000385,BAFLP,1,100
10000385,10000385,BAFSC,1,096
10000385,10000385,BAGDS,1,096
10000385,10000385,BAIAD,1,096
10000385,10000385,BAILL,1,096
10000385,10000385,BAMDM,1,096
10000385,10000385,BAMMP,1,098
10000385,10000385,BAPHO,1,100
10000385,10000385,BATXT,1,096
10000385,10000385,BAVCO,1,096
10000385,10000385,BAVFX,1,100
10000409,10000409,BA_ED_HE_17,2,108
10000409,10000409,FD-EC-HE-17,2,108
10000409,10000409,FD_EC_HE_17,2,108
10000409,10000409,FH-HS-HE-17,1,108
10000409,10000409,HN_M_PHE_17,1,108
10000415,10000415,BSA3F,1,024
10000415,10000415,DFACCF,1,021
10000415,10000415,DFALMF,1,024
10000415,10000415,DFALMP,2,024
10000415,10000415,DFAMX,1,024
10000415,10000415,DFAMXF,1,024
10000415,10000415,DFAMXP,2,024
10000415,10000415,DFARBF,1,022
10000415,10000415,DFCFBF,1,021
10000415,10000415,DFCMXF,1,024
10000415,10000415,DFCMXP,2,024
10000415,10000415,DFELEF,1,024
10000415,10000415,DFESCF,1,024
10000415,10000415,DFHORF,1,024
10000415,10000415,DFSAOF,1,067
10000415,10000415,DFSSCF,1,018
10000415,10000415,DFSSMF,1,024
10000415,10000415,DFVHSF,1,020
10000415,10000415,DFVNX,1,021
10000415,10000415,DFVNXF,1,021
10000473,10000473,HL5FDCOMP,1,035
10000473,10000473,HL5FDEARL,2,058
10000473,10000473,HL5FDPRAH,2,105
10000528,10000528,Q130F061-15,1,035
10000528,10000528,Q170F016,1,096
10000528,10000528,Q170F017,1,100
10000528,10000528,Q170F019,1,100
10000528,10000528,Q170F224-15,1,100
10000528,10000528,Q310F125,1,066
10000528,10000528,Q310F125,1,068
10000533,10000533,1C1035,1,035
10000533,10000533,1C1035,2,035
10000533,10000533,2B1087,1,058
10000533,10000533,2B1801,1,054
10000533,10000533,2C8077,1,037
10000533,10000533,2D2055,1,061
10000533,10000533,2D2055,2,061
10000533,10000533,2D3202,1,018
10000534,10000534,ARTDEHNC,2,095
10000534,10000534,BEAUTFD,1,006
10000534,10000534,BUSINHNC,1,061
10000534,10000534,CHILDFD,1,058
10000534,10000534,HEALTHHND,1,057
10000534,10000534,MUSICHNC,1,097
10000534,10000534,MUSICHND,1,097
10000534,10000534,NETWKFD,1,035
10000534,10000534,PUBLCHNC,2,053
10000534,10000534,PUBLCHND,2,053
10000534,10000534,SOFTWFD,1,035
10000534,10000534,SPORTHNC,1,067
10000534,10000534,SPORTHND,1,018
10000536,10000536,AT19CBSCFT,1,048
10000536,10000536,AT19CBSCPT,2,048
10000536,10000536,AT29EHND,1,036
10000536,10000536,AT29MHND,1,037
10000536,10000536,AT39BHND,1,061
10000536,10000536,AT39CHND,1,035
10000536,10000536,AT39THND,1,067
10000536,10000536,AT49AMHD,1,024
10000536,10000536,CA29HHND,1,067
10000536,10000536,CA49AHNDFT,1,095
10000536,10000536,CA49BAMT,1,097
10000536,10000536,CA49BAPM,1,097
10000536,10000536,CA49FDTT,1,098
10000536,10000536,CA49GHNDFT,1,096
10000536,10000536,PS29EYBAFT,1,105
10000536,10000536,PS29EYBAPT,2,105
10000536,10000536,PS29FDLSFT,1,103
10000536,10000536,PS29FDLSPT,2,103
10000536,10000536,PS39PHND,1,053
10000536,10000536,PS39SHND,1,018
10000536,10000536,PS69PPHS,1,011
10000560,10000560,CF07,1,035
10000560,10000560,EF42,1,040
10000560,10000560,EF43,1,037
10000560,10000560,JF14,1,061
10000560,10000560,PH04,1,105
10000571,10000571,BA-3DIMO,1,096
10000571,10000571,BA-ACT,1,098
10000571,10000571,BA-BM,1,061
10000571,10000571,BA-BM-SW,1,061
10000571,10000571,BA-BMACC,1,066
10000571,10000571,BA-BMACC-SW,1,066
10000571,10000571,BA-BMENP,1,061
10000571,10000571,BA-BMENP-SW,1,061
10000571,10000571,BA-BMFAE,1,061
10000571,10000571,BA-BMFAE-SW,1,061
10000571,10000571,BA-BMHRM,1,064
10000571,10000571,BA-BMHRM-SW,1,064
10000571,10000571,BA-BMINT,1,061
10000571,10000571,BA-BMINT-SW,1,061
10000571,10000571,BA-BMLAW,1,061
10000571,10000571,BA-BMLAW-SW,1,061
10000571,10000571,BA-BMM,1,062
10000571,10000571,BA-BMM-SW,1,063
10000571,10000571,BA-BMTM,1,067
10000571,10000571,BA-BMTM-SW,1,067
10000571,10000571,BA-CAARACE,1,36
10000571,10000571,BA-CAARACW,1,36
10000571,10000571,BA-CAARACW,1,101
10000571,10000571,BA-CAARADA,1,36
10000571,10000571,BA-CAARADA,1,099
10000571,10000571,BA-CAARADS,1,36
10000571,10000571,BA-CAARADS,1,098
10000571,10000571,BA-CAARAMU,1,097
10000571,10000571,BA-CAARAMU,1,36
10000571,10000571,BA-CAARATD,1,36
10000571,10000571,BA-CAARAVD,1,36
10000571,10000571,BA-CACEACW,1,36
10000571,10000571,BA-CACEACW,1,101
10000571,10000571,BA-CACEADA,1,099
10000571,10000571,BA-CACEADA,1,36
10000571,10000571,BA-CACEADS,1,098
10000571,10000571,BA-CACEADS,1,36
10000571,10000571,BA-CACEAMU,1,097
10000571,10000571,BA-CACEAMU,1,36
10000571,10000571,BA-CACEATD,1,36
10000571,10000571,BA-CACEAVD,1,36
10000571,10000571,BA-CACWADA,1,099
10000571,10000571,BA-CACWADA,1,101
10000571,10000571,BA-CACWADS,1,098
10000571,10000571,BA-CACWADS,1,101
10000571,10000571,BA-CACWAMU,1,097
10000571,10000571,BA-CACWAMU,1,101
10000571,10000571,BA-CACWATD,1,101
10000571,10000571,BA-CACWATD,1,36
10000571,10000571,BA-CACWAVD,1,101
10000571,10000571,BA-CACWAVD,1,36
10000571,10000571,BA-CADAADS,1,098
10000571,10000571,BA-CADAADS,1,099
10000571,10000571,BA-CADAAMU,1,097
10000571,10000571,BA-CADAAMU,1,099
10000571,10000571,BA-CADAATD,1,099
10000571,10000571,BA-CADAATD,1,36
10000571,10000571,BA-CADAAVD,1,099
10000571,10000571,BA-CADAAVD,1,36
10000571,10000571,BA-CADSAMU,1,097
10000571,10000571,BA-CADSAMU,1,098
10000571,10000571,BA-CADSATD,1,098
10000571,10000571,BA-CADSATD,1,36
10000571,10000571,BA-CADSAVD,1,098
10000571,10000571,BA-CADSAVD,1,36
10000571,10000571,BA-CAMUATD,1,097
10000571,10000571,BA-CAMUATD,1,36
10000571,10000571,BA-CAMUAVD,1,097
10000571,10000571,BA-CAMUAVD,1,36
10000571,10000571,BA-CAP,1,102
10000571,10000571,BA-CATDAVD,1,36
10000571,10000571,BA-CM,1,097
10000571,10000571,BA-CMP,1,102
10000571,10000571,BA-CW,1,101
10000571,10000571,BA-DA,1,099
10000571,10000571,BA-DS,1,098
10000571,10000571,BA-EDAAR,1,095
10000571,10000571,BA-EDAAR,1,105
10000571,10000571,BA-EDABM,1,061
10000571,10000571,BA-EDABM,1,105
10000571,10000571,BA-EDACW,1,101
10000571,10000571,BA-EDACW,1,105
10000571,10000571,BA-EDADA,1,099
10000571,10000571,BA-EDADA,1,105
10000571,10000571,BA-EDADS,1,098
10000571,10000571,BA-EDADS,1,105
10000571,10000571,BA-EDAEN,1,075
10000571,10000571,BA-EDAEN,1,105
10000571,10000571,BA-EDAHY,1,090
10000571,10000571,BA-EDAHY,1,105
10000571,10000571,BA-EDAMC,1,069
10000571,10000571,BA-EDAMC,1,105
10000571,10000571,BA-EDASR,1,105
10000571,10000571,BA-EDASR,1,094
10000571,10000571,BA-EDATD,1,105
10000571,10000571,BA-EDATD,1,096
10000571,10000571,BA-EDSECAAR,1,095
10000571,10000571,BA-EDSECAAR,1,105
10000571,10000571,BA-EDSECABI,1,012
10000571,10000571,BA-EDSECABI,1,105
10000571,10000571,BA-EDSECADS,1,105
10000571,10000571,BA-EDSECADS,1,098
10000571,10000571,BA-EDSECAEN,1,101
10000571,10000571,BA-EDSECAEN,1,105
10000571,10000571,BA-EDSECAMU,1,097
10000571,10000571,BA-EDSECAMU,1,105
10000571,10000571,BA-EDSECASR,1,105
10000571,10000571,BA-EDSECASR,1,094
10000571,10000571,BA-EDSIN,1,105
10000571,10000571,BA-EN,1,075
10000571,10000571,BA-ES,1,105
10000571,10000571,BA-EY,1,105
10000571,10000571,BA-EYSIN,1,105
10000571,10000571,BA-FD,1,096
10000571,10000571,BA-FINEART,1,095
10000571,10000571,BA-FSS,1,069
10000571,10000571,BA-FTD,1,096
10000571,10000571,BA-FTV,1,069
10000571,10000571,BA-GEHU,1,059
10000571,10000571,BA-GRAPHCOM,1,096
10000571,10000571,BA-HAD,1,102
10000571,10000571,BA-HY,1,090
10000571,10000571,BA-IE,1,105
10000571,10000571,BA-IEDSIN,1,105
10000571,10000571,BA-MC,1,069
10000571,10000571,BA-MT,1,097
10000571,10000571,BA-MUS,1,097
10000571,10000571,BA-PH,1,100
10000571,10000571,BA-RPE,1,093
10000571,10000571,BA-RPE,1,094
10000571,10000571,BA-TP,1,098
10000571,10000571,BA-YC,1,105
10000571,10000571,BAMA-CM,1,097
10000571,10000571,BAMA-TDFI,1,096
10000571,10000571,BS-BI,1,012
10000571,10000571,BS-BI-SW,1,012
10000571,10000571,BS-BICB,1,012
10000571,10000571,BS-BICB-SW,1,012
10000571,10000571,BS-BIHB,1,012
10000571,10000571,BS-BIHB-SW,1,012
10000571,10000571,BS-CCAN,1,035
10000571,10000571,BS-CCGM,1,035
10000571,10000571,BS-CCSD,1,035
10000571,10000571,BS-CRI,1,054
10000571,10000571,BS-EDABI,1,012
10000571,10000571,BS-EDABI,1,105
10000571,10000571,BS-EDAGE,1,031
10000571,10000571,BS-EDAGE,1,105
10000571,10000571,BS-EDAPS,1,019
10000571,10000571,BS-EDAPS,1,105
10000571,10000571,BS-EDASC,1,054
10000571,10000571,BS-EDASC,1,105
10000571,10000571,BS-EV,1,031
10000571,10000571,BS-EV-SW,1,031
10000571,10000571,BS-FS,1,007
10000571,10000571,BS-FS-SW,1,007
10000571,10000571,BS-GDS,1,031
10000571,10000571,BS-GE,1,031
10000571,10000571,BS-GEPH,1,031
10000571,10000571,BS-HN,1,007
10000571,10000571,BS-HN-SW,1,007
10000571,10000571,BS-PS,1,019
10000571,10000571,BS-SC,1,054
10000571,10000571,F-29,1,29
10000571,10000571,F-34,1,34
10000571,10000571,F-35,1,35
10000571,10000571,F-36,1,36
10000571,10000571,FD-CCPT,1,098
10000571,10000571,MOD-BIABM,1,012
10000571,10000571,MOD-BIABM,1,061
10000571,10000571,MOD-BIACRI,1,054
10000571,10000571,MOD-BIACRI,1,012
10000571,10000571,MOD-BIACW,1,012
10000571,10000571,MOD-BIACW,1,101
10000571,10000571,MOD-BIADA,1,099
10000571,10000571,MOD-BIADA,1,012
10000571,10000571,MOD-BIADS,1,012
10000571,10000571,MOD-BIADS,1,098
10000571,10000571,MOD-BIAED,1,012
10000571,10000571,MOD-BIAED,1,105
10000571,10000571,MOD-BIAEN,1,012
10000571,10000571,MOD-BIAEN,1,075
10000571,10000571,MOD-BIAFI,1,012
10000571,10000571,MOD-BIAFI,1,069
10000571,10000571,MOD-BIAGE,1,012
10000571,10000571,MOD-BIAGE,1,031
10000571,10000571,MOD-BIAHY,1,012
10000571,10000571,MOD-BIAHY,1,090
10000571,10000571,MOD-BIAMC,1,012
10000571,10000571,MOD-BIAMC,1,069
10000571,10000571,MOD-BIAMU,1,012
10000571,10000571,MOD-BIAMU,1,097
10000571,10000571,MOD-BIAPE,1,012
10000571,10000571,MOD-BIAPE,1,35
10000571,10000571,MOD-BIAPS,1,012
10000571,10000571,MOD-BIAPS,1,019
10000571,10000571,MOD-BIASC,1,012
10000571,10000571,MOD-BIASC,1,054
10000571,10000571,MOD-BIASR,1,012
10000571,10000571,MOD-BIASR,1,35
10000571,10000571,MOD-BMACC,1,035
10000571,10000571,MOD-BMACC,1,061
10000571,10000571,MOD-BMACRI,1,054
10000571,10000571,MOD-BMACRI,1,061
10000571,10000571,MOD-BMACW,1,061
10000571,10000571,MOD-BMACW,1,101
10000571,10000571,MOD-BMADA,1,061
10000571,10000571,MOD-BMADA,1,099
10000571,10000571,MOD-BMADS,1,061
10000571,10000571,MOD-BMADS,1,098
10000571,10000571,MOD-BMAED,1,061
10000571,10000571,MOD-BMAED,1,105
10000571,10000571,MOD-BMAFI,1,061
10000571,10000571,MOD-BMAFI,1,069
10000571,10000571,MOD-BMAGE,1,031
10000571,10000571,MOD-BMAGE,1,061
10000571,10000571,MOD-BMAHE,1,061
10000571,10000571,MOD-BMAHE,1,34
10000571,10000571,MOD-BMAHY,1,061
10000571,10000571,MOD-BMAHY,1,090
10000571,10000571,MOD-BMAMC,1,061
10000571,10000571,MOD-BMAMC,1,069
10000571,10000571,MOD-BMAMU,1,061
10000571,10000571,MOD-BMAMU,1,097
10000571,10000571,MOD-BMAPE,1,061
10000571,10000571,MOD-BMAPE,1,35
10000571,10000571,MOD-BMAPS,1,019
10000571,10000571,MOD-BMAPS,1,061
10000571,10000571,MOD-BMAPU,1,061
10000571,10000571,MOD-BMAPU,1,29
10000571,10000571,MOD-BMASC,1,054
10000571,10000571,MOD-BMASC,1,061
10000571,10000571,MOD-BMASR,1,061
10000571,10000571,MOD-BMASR,1,35
10000571,10000571,MOD-CAPACC,1,035
10000571,10000571,MOD-CAPACC,1,102
10000571,10000571,MOD-CAPAHAD,1,102
10000571,10000571,MOD-CCACW,1,101
10000571,10000571,MOD-CCACW,1,035
10000571,10000571,MOD-CCAEN,1,035
10000571,10000571,MOD-CCAEN,1,075
10000571,10000571,MOD-CCAFI,1,069
10000571,10000571,MOD-CCAFI,1,035
10000571,10000571,MOD-CCAHAD,1,102
10000571,10000571,MOD-CCAHAD,1,035
10000571,10000571,MOD-CCAHE,1,35
10000571,10000571,MOD-CCAHE,1,035
10000571,10000571,MOD-CCAHY,1,035
10000571,10000571,MOD-CCAHY,1,090
10000571,10000571,MOD-CCAMC,1,069
10000571,10000571,MOD-CCAMC,1,035
10000571,10000571,MOD-CCAPU,1,29
10000571,10000571,MOD-CCAPU,1,035
10000571,10000571,MOD-CRIAGE,1,031
10000571,10000571,MOD-CRIAGE,1,054
10000571,10000571,MOD-CRIAMC,1,054
10000571,10000571,MOD-CRIAMC,1,069
10000571,10000571,MOD-CRIAPS,1,019
10000571,10000571,MOD-CRIAPS,1,054
10000571,10000571,MOD-CRIAPUB,1,29
10000571,10000571,MOD-CRIAPUB,1,054
10000571,10000571,MOD-CRIASC,1,054
10000571,10000571,MOD-CWACRI,1,101
10000571,10000571,MOD-CWACRI,1,054
10000571,10000571,MOD-CWAED,1,101
10000571,10000571,MOD-CWAED,1,105
10000571,10000571,MOD-CWAEN,1,101
10000571,10000571,MOD-CWAEN,1,075
10000571,10000571,MOD-CWAFI,1,069
10000571,10000571,MOD-CWAFI,1,101
10000571,10000571,MOD-CWAGE,1,031
10000571,10000571,MOD-CWAGE,1,101
10000571,10000571,MOD-CWAHY,1,101
10000571,10000571,MOD-CWAHY,1,090
10000571,10000571,MOD-CWAMC,1,069
10000571,10000571,MOD-CWAMC,1,101
10000571,10000571,MOD-CWAPE,1,101
10000571,10000571,MOD-CWAPE,1,35
10000571,10000571,MOD-CWAPS,1,101
10000571,10000571,MOD-CWAPS,1,019
10000571,10000571,MOD-CWAPU,1,072
10000571,10000571,MOD-CWAPU,1,101
10000571,10000571,MOD-CWASC,1,054
10000571,10000571,MOD-CWASC,1,101
10000571,10000571,MOD-CWASR,1,35
10000571,10000571,MOD-CWASR,1,101
10000571,10000571,MOD-DAAED,1,099
10000571,10000571,MOD-DAAED,1,105
