PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,CONTPOP,CONTAGG,CONTSBJ,UCONT,UDORMANT,UGAINED,ULEFT,ULOWER
10000291,10000291,K00104,1,145,11,9,77,3,6,8,6
10000291,10000291,K00105,1,15,13,065,20,0,35,5,40
10000291,10000291,K00106,1,25,13,048,75,5,5,5,10
10000291,10000291,K00107,1,20,13,064,75,5,5,0,15
10000291,10000291,K00108,1,70,14,,96,3,0,0,1
10000291,10000291,K00109,1,45,14,,85,15,0,0,0
10000291,10000291,K00110,1,155,12,37,82,4,1,7,6
10000291,10000291,K00111,1,100,14,,49,16,17,3,14
10000291,10000291,K00114,1,50,13,052,70,5,0,15,15
10000291,10000291,K00115,1,245,13,035,77,3,2,9,8
10000291,10000291,K00116,1,515,13,061,62,5,14,9,10
10000291,10000291,K00117,1,15,13,065,20,0,35,5,40
10000291,10000291,K00118,1,15,23,063,90,10,0,0,0
10000291,10000291,K00119,1,45,14,,85,5,0,0,5
10000291,10000291,K00120,1,40,13,041,80,5,5,10,5
10000291,10000291,K00121,1,245,13,035,77,3,2,9,8
10000291,10000291,K00122,1,245,13,035,77,3,2,9,8
10000291,10000291,K00123,1,245,13,035,77,3,2,9,8
10000291,10000291,K00125,1,30,14,,65,10,0,10,15
10000291,10000291,K00126,1,85,14,,85,4,0,1,11
10000291,10000291,K00127,1,25,13,048,75,5,5,5,10
10000291,10000291,K00128,1,130,13,027,68,8,1,3,19
10000291,10000291,K00129,1,15,13,065,20,0,35,5,40
10000291,10000291,K00130,1,15,13,065,20,0,35,5,40
10000291,10000291,K00131,1,175,13,066,78,10,0,3,10
10000291,10000291,K00132,1,130,13,027,68,8,1,3,19
10000291,10000291,K00133,1,15,23,063,90,10,0,0,0
10000291,10000291,K00134,1,15,24,,65,0,0,5,25
10000291,10000291,K00140,1,25,14,,90,0,5,5,5
10000291,10000291,K00141,1,15,14,,70,5,0,15,5
10000291,10000291,K00142,1,35,14,,80,5,5,5,10
10000291,10000291,K00143,1,30,14,,75,5,5,5,15
10000291,10000291,K00144,1,25,24,,55,0,30,5,5
10000291,10000291,K00145,1,15,24,,70,10,10,15,0
10000291,10000291,K00146,1,20,14,,75,5,10,0,15
10000291,10000291,K00147,1,10,14,,70,10,0,0,20
10000291,10000291,K00149,1,10,14,,90,10,0,0,0
10000291,10000291,K00150,2,45,24,,90,5,0,0,0
10000291,10000291,K00151,2,85,14,,76,4,0,5,15
10000291,10000291,K00152,1,80,14,,90,2,0,2,5
10000291,10000291,K00153,1,50,14,,90,5,0,0,5
10000291,10000291,K00154,1,10,13,073,75,0,10,10,10
10000291,10000291,K00156,1,25,14,,90,5,0,5,0
10000291,10000291,K00157,1,170,14,,83,2,0,8,6
10000291,10000291,K00158,1,35,14,,80,5,0,5,10
10000291,10000291,K00159,1,10,23,035,65,10,15,0,10
10000291,10000291,K00160,1,35,14,,75,5,0,15,5
10000291,10000291,K00161,1,50,13,012,70,0,5,10,15
10000291,10000291,K00162,1,25,13,048,75,5,5,5,10
10000291,10000291,K00163,1,80,13,013,85,0,0,6,9
10000291,10000291,K00164,1,10,23,035,65,10,15,0,10
10000291,10000291,K00166,1,15,14,,70,15,0,0,15
10000291,10000291,K00167,1,190,13,058,67,10,9,2,12
10000291,10000291,K00169,1,55,13,005,72,9,11,7,0
10000291,10000291,K00170,1,55,14,,81,2,0,9,7
10000291,10000291,K00173,1,25,14,,75,10,5,10,5
10000291,10000291,K00174,1,35,14,,80,5,5,5,5
10000291,10000291,K00176,1,50,14,,80,5,0,10,5
10000291,10000291,K00177,1,45,13,058,75,0,15,10,5
10000291,10000291,K00179,1,35,14,,85,5,0,5,5
10000291,10000291,K00182,1,240,13,060,82,3,0,5,9
10000291,10000291,K00185,1,50,13,012,70,0,5,10,15
10000291,10000291,K00187,2,30,24,,85,5,0,5,5
10000291,10000291,K00188,1,95,14,,87,0,0,5,7
10000291,10000291,K00189,1,15,14,,85,0,0,5,5
10000291,10000291,K00190,1,15,14,,90,0,0,0,10
10000291,10000291,K00191,1,35,14,,95,0,0,5,5
10000291,10000291,K00192,1,45,14,,80,0,0,10,15
10000291,10000291,K00193,1,55,14,,78,2,0,9,11
10000291,10000291,K00194,1,15,24,,55,0,0,10,35
10000291,10000291,K00195,1,55,14,,64,2,2,18,15
10000291,10000291,K00196,1,35,24,,60,0,0,15,25
10000291,10000291,K00199,1,150,12,04,89,4,0,2,5
10000291,10000291,K00200,1,20,14,,80,0,5,0,15
10000291,10000291,K00201,1,25,14,,75,5,0,5,15
10000291,10000291,K00202,1,75,14,,63,12,0,3,23
10000291,10000291,K00242,1,20,14,,80,10,0,5,5
10000291,10000291,K00244,1,15,13,012,0,0,60,40,0
10000291,10000291,K00246,1,50,14,,70,0,0,10,20
10000291,10000291,K00247,1,25,24,,90,0,10,5,0
10000291,10000291,K00248,1,30,14,,60,5,0,15,20
10000291,10000291,K00249,1,10,14,,80,0,0,10,10
10000291,10000291,K00250,1,25,24,,70,5,0,0,20
10000291,10000291,K00256,1,20,14,,90,0,0,10,0
10000291,10000291,K00258,1,30,13,054,80,0,5,15,0
10000291,10000291,K00259,1,15,24,,70,15,0,10,10
10000291,10000291,K00260,1,25,14,,70,5,0,10,20
10000291,10000291,K00264,1,55,13,005,72,9,11,7,0
10000291,10000291,K00265,1,15,22,09,75,0,0,15,10
10000291,10000291,K00266,1,10,13,024,80,0,20,0,0
10000291,10000291,K00267,1,15,22,09,75,0,0,15,10
10000291,10000291,K00268,1,15,13,021,85,0,0,5,5
10000291,10000291,K00277,2,15,14,,95,0,0,0,5
