PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESP_RATE,EMPAGG,EMPSBJ,WORKSTUDY,STUDY,ASSUNEMP,BOTH,NOAVAIL,WORK
10000291,10000291,K00090,2,25,85,13,058,95,0,5,5,0,90
10000291,10000291,K00091,1,65,69,13,058,92,2,8,2,0,89
10000291,10000291,K00092,1,110,84,13,035,83,5,16,2,1,76
10000291,10000291,K00093,2,10,85,14,,90,10,0,20,10,65
10000291,10000291,K00095,1,60,77,12,27,75,8,20,7,5,60
10000291,10000291,K00096,1,215,76,13,061,82,12,14,5,4,66
10000291,10000291,K00098,1,25,80,13,062,85,5,10,5,10,75
10000291,10000291,K00099,1,110,84,13,035,83,5,16,2,1,76
10000291,10000291,K00100,1,15,80,13,041,85,5,5,0,5,80
10000291,10000291,K00101,1,20,70,13,040,85,15,15,0,0,70
10000291,10000291,K00102,1,20,80,23,037,80,10,15,5,5,60
10000291,10000291,K00103,1,20,80,13,047,95,0,5,5,0,90
10000291,10000291,K00104,1,45,75,11,9,80,10,15,0,5,70
10000291,10000291,K00105,1,60,77,12,27,75,8,20,7,5,60
10000291,10000291,K00106,1,20,90,13,048,85,5,10,0,5,80
10000291,10000291,K00107,1,15,75,13,064,90,15,10,0,0,75
10000291,10000291,K00108,1,40,85,14,,95,0,5,0,0,95
10000291,10000291,K00109,1,15,85,14,,100,0,0,0,0,100
10000291,10000291,K00110,1,70,70,12,37,89,14,5,4,6,71
10000291,10000291,K00111,1,25,65,24,,65,10,35,10,5,45
10000291,10000291,K00114,1,20,70,13,052,80,10,15,0,5,65
10000291,10000291,K00115,1,110,84,13,035,83,5,16,2,1,76
10000291,10000291,K00116,1,215,76,13,061,82,12,14,5,4,66
10000291,10000291,K00117,1,60,77,12,27,75,8,20,7,5,60
10000291,10000291,K00118,1,15,75,12,26,90,15,10,0,0,75
10000291,10000291,K00119,1,25,95,24,,90,0,10,10,0,85
10000291,10000291,K00120,1,15,80,13,041,85,5,5,0,5,80
10000291,10000291,K00121,1,110,84,13,035,83,5,16,2,1,76
10000291,10000291,K00122,1,110,84,13,035,83,5,16,2,1,76
10000291,10000291,K00123,1,110,84,13,035,83,5,16,2,1,76
10000291,10000291,K00125,1,25,75,24,,85,0,10,5,10,80
10000291,10000291,K00126,1,55,81,14,,95,0,5,2,0,93
10000291,10000291,K00127,1,20,90,13,048,85,5,10,0,5,80
10000291,10000291,K00128,1,45,80,13,027,85,10,10,0,5,70
10000291,10000291,K00129,1,60,77,12,27,75,8,20,7,5,60
10000291,10000291,K00130,1,60,77,12,27,75,8,20,7,5,60
10000291,10000291,K00131,1,60,78,13,066,75,8,20,7,5,60
10000291,10000291,K00132,1,45,80,13,027,85,10,10,0,5,70
10000291,10000291,K00133,1,15,75,12,26,90,15,10,0,0,75
10000291,10000291,K00140,1,10,85,24,,80,0,20,0,0,80
10000291,10000291,K00141,1,10,90,14,,90,10,0,0,10,80
10000291,10000291,K00142,1,20,80,24,,80,10,15,5,5,60
10000291,10000291,K00143,1,10,75,14,,90,0,10,10,0,80
10000291,10000291,K00144,1,10,80,24,,75,10,15,0,10,65
10000291,10000291,K00145,1,10,90,14,,90,0,10,0,0,90
10000291,10000291,K00146,1,10,75,24,,85,0,10,0,10,85
10000291,10000291,K00147,1,25,90,24,,100,5,0,0,0,95
10000291,10000291,K00149,1,15,85,13,103,95,55,0,20,5,20
10000291,10000291,K00150,2,25,75,14,,100,0,0,5,0,95
10000291,10000291,K00151,2,55,81,14,,98,0,0,4,2,95
10000291,10000291,K00152,1,50,100,14,,100,0,0,10,0,90
10000291,10000291,K00153,1,35,90,14,,90,45,5,5,5,40
10000291,10000291,K00154,1,10,80,23,073,65,15,25,0,10,50
10000291,10000291,K00156,1,15,65,24,,75,20,10,5,10,55
10000291,10000291,K00157,1,115,81,14,,84,9,12,8,4,68
10000291,10000291,K00158,1,25,100,14,,75,25,20,10,10,40
10000291,10000291,K00160,1,15,80,14,,80,20,5,5,10,60
10000291,10000291,K00161,1,25,75,13,012,85,5,10,10,10,70
10000291,10000291,K00162,1,20,90,13,048,85,5,10,0,5,80
10000291,10000291,K00163,1,25,80,13,013,90,10,10,5,0,75
10000291,10000291,K00166,1,50,80,13,069,90,5,5,0,5,80
10000291,10000291,K00167,1,65,69,13,058,92,2,8,2,0,89
10000291,10000291,K00169,1,130,83,23,005,96,2,4,2,0,92
10000291,10000291,K00170,1,20,95,14,,90,15,10,0,0,75
10000291,10000291,K00173,1,15,90,14,,85,0,15,0,0,85
10000291,10000291,K00174,1,10,60,14,,75,0,20,0,10,75
10000291,10000291,K00176,1,25,90,14,,80,5,20,0,0,75
10000291,10000291,K00177,1,35,70,13,058,100,5,0,5,0,90
10000291,10000291,K00179,1,10,65,14,,100,0,0,0,0,100
10000291,10000291,K00182,1,110,83,13,060,89,31,5,6,6,51
10000291,10000291,K00185,1,25,75,13,012,85,5,10,10,10,70
