PUBUKPRN,UKPRN,COUNTRY,PUBUKPRNCOUNTRY,TEFMARKER,SUURL,SUURLW,Q24,Q24POP,Q24RESP_RATE
10021682,10007791,XF,XF,1,http://www.essexstudent.com,,54,55,65
10022022,10000291,XF,XF,0,http://www.angliastudent.com,,,,75
10022087,10022087,XF,XF,1,http://www.uclansu.co.uk,,57,100,70
10023139,10023139,XF,XF,1,http://www.themanchestercollege.ac.uk/university-degree-level/support/council,,65,353,72
10023454,10023454,XF,XF,1,http://www.moorlands.ac.uk/private/student-council/,,56,45,85
10024962,10024962,XF,XF,1,http://lcomsu.co.uk/,,65,334,64
10030408,10030408,XI,XI,0,http://www.gcs.ac.uk/higher-education#!pnl_all,http://www.gcs.ac.uk/higher-education#!pnl_all,,,
10030973,10007848,XF,XF,0,http://www.chestersu.com/,,,,70
10031982,10031982,XF,XF,1,http://www.bppstudents.com,,54,590,60
10034286,10001143,XF,XF,0,http://ccsu.co.uk/,,,,65
10034450,10034450,XI,XI,0,http://moodle.cavc.ac.uk/mod/page/view.php?id=124251,http://moodle.cavc.ac.uk/mod/page/view.php?id=124251,47,79,80
10035638,10035638,XF,XF,1,http://www.nus.org.uk,,,,
10036143,10036143,XF,XF,1,http://www.sgscol.ac.uk/content.aspx?Page=student-union,,61,53,71
10036456,10006841,XF,XF,0,http://www.ubsu.org.uk,,,,70
10037449,10037449,XF,XF,1,http://www.marjonsu.co.uk/,,64,400,80
10037544,10037544,XF,XF,1,http://www.nus.org.uk,,,,
10037822,10037822,XF,XF,1,http://www.nus.org.uk/,,70,30,55
10038501,10006299,XF,XF,0,http://www.staffsunion.com,,33,15,75
10039956,10039956,XF,XF,1,http://www.law.ac.uk/about/student-life/,,65,80,85
10040812,10040812,XF,XF,1,http://www.harpersu.com,,85,410,80
10041563,10006841,XF,XF,0,http://www.ubsu.org.uk,,58,40,70
10042093,10007147,XF,XF,0,http://www.hertfordshire.su/,,,,75
10043164,10000975,XF,XF,0,http://www.bucksstudentsunion.org/,,43,75,75
10044301,10007791,XF,XF,0,http://www.essexstudent.com,,82,25,65
10046069,10008640,XF,XF,0,http://www.fxu.org.uk,,,,80
10046763,10007144,XF,XF,0,http://www.uelunion.org/,,,,70
99999997,99999997,XF,XF,0,http://www.umsa.org.uk/,,67,140,75
99999998,99999998,XF,XF,0,http://www.yusu.org/,,70,100,75
99999999,99999999,XF,XF,0,http://www.bsms.ac.uk/undergraduate/campus-life/student-life/,,80,110,90
