PUBUKPRN,UKPRN,COUNTRY,PUBUKPRNCOUNTRY,TEFMARKER,SUURL,SUURLW,Q24,Q24POP,Q24RESP_RATE
10005981,10005981,XF,XF,1,http://www.southessex.ac.uk/student-life/student-life,,51,180,80
10005991,10005991,XF,XF,1,http://www.nus.org.uk/,,36,56,89
10005997,10005997,XF,XF,0,http://www.south-thames.ac.uk,,78,10,91
10005998,10005998,XF,XF,1,http://www.trafford.ac.uk,,67,33,72
10005999,10005999,XF,XF,1,http://www.stc.ac.uk/marine/who_we_are.php,,63,56,63
10006002,10006002,XF,XF,1,http://www.stratford.ac.uk/Home.aspx,,,,
10006020,10006020,XF,XF,1,https://www.southampton-city.ac.uk,,57,16,80
10006022,10006022,XF,XF,1,http://www.solentsu.co.uk/,,65,1720,70
10006038,10006038,XF,XF,0,http://southport.ac.uk/StudentServices/index.asp,,55,34,65
10006050,10006050,XF,XF,1,http://www.nus.org.uk/en/students-unions/,,35,101,74
10006174,10006174,XF,XF,1,http://www.sthelens.ac.uk,,58,71,67
10006226,10006226,XF,XF,0,http://www.stmarysblackburn.ac.uk/more-information/contact-us.html,,82,11,65
10006293,10006299,XF,XF,0,http://www.staffsunion.com,,54,30,75
10006299,10006299,XF,XF,1,http://www.staffsunion.com,,70,1750,75
10006303,10006303,XF,XF,1,http://www.stamford.ac.uk/student-union,,68,79,69
10006322,10006322,XF,XF,1,http://www.stephensoncoll.ac.uk/students/nus/,,,,
10006331,10006331,XF,XF,1,http://www.stockport.ac.uk/our-college/facilities/#1444295031135-7fee01b4-ae7b,,,,
10006341,10007161,XF,XF,1,http://www.tees-su.org.uk/,,81,70,65
10006349,10006299,XF,XF,0,http://www.staffsunion.com,,56,50,75
10006378,10006378,XF,XF,1,http://www.strode-college.ac.uk/services_support/students_association/242,,46,22,69
10006389,10007147,XF,XH,0,http://www.hertfordshire.su/,,,,75
10006398,10014001,XF,XF,1,http://www.uosunion.org/,,29,15,70
10006427,10006427,XF,XF,1,http://www.ucasu.com/,,53,1030,80
10006432,10006432,XF,XF,1,https://www.nus.org.uk/,,47,43,67
10006442,10006442,XF,XF,1,http://www.bmetc.ac.uk/college-life,,47,145,62
10006463,10006463,XF,XF,1,https://www.swindon.ac.uk/Student-Information/Student-Council-Course-Reps.aspx,,47,84,80
10006494,10006494,XF,XF,1,http://www.tameside.ac.uk/Pages/Higher_Education/student_voice.aspx,,67,10,50
10006549,10006549,XF,XF,1,http://www.nus.org.uk/en/students-unions/telford-college-of-art--technology-students-union,,56,40,56
10006566,10006566,XF,XF,1,http://www.uwlsu.com,,76,1505,85
10006770,10006770,XF,XF,0,http://www.uco.oldham.ac.uk/student/students-union/Default.aspx,,65,85,59
10006840,10006840,XF,XF,1,http://www.birmingham.ac.uk/students/birmingham/guild.aspx,,75,3865,75
10006841,10006841,XF,XF,1,http://www.ubsu.org.uk,,71,570,70
10006842,10006842,XF,XF,1,http://www.liverpoolguild.org/,,70,3550,75
10007011,10007011,XF,XF,1,http://www.northamptoncollege.ac.uk/support-for-students/348-students-union.html,,74,41,55
10007035,10007035,XF,XF,1,http://www.tresham.ac.uk/about-us/,,,,
10007063,10007063,XF,XF,1,http://www.truro-penwith.ac.uk/higher-education/student-services/upsu/,,62,193,63
10007114,10007114,XH,XH,0,http://www.hisa.uhi.ac.uk,,39,490,85
10007137,10007137,XF,XF,1,http://www.ucsu.org/,,75,915,70
10007138,10007138,XF,XF,1,http://www.northampton.ac.uk/about-us/services-and-facilities/students-union,,68,1715,70
10007139,10007139,XF,XF,1,http://www.worcsu.com,,68,1545,80
10007140,10007140,XF,XF,1,http://www.birminghamcitysu.com/,,71,3690,75
10007141,10007141,XF,XF,1,http://www.uclansu.co.uk/,,71,2625,70
10007143,10007143,XF,XF,1,http://www.dsu.org.uk/,,36,2775,75
10007144,10007144,XF,XF,1,http://www.uelunion.org/,,61,1625,70
10007145,10007145,XF,XF,1,http://www.yourstudentsunion.com/,,67,1205,75
10007146,10007146,XF,XF,1,http://www.suug.co.uk/,,63,2485,75
10007147,10007147,XF,XF,1,http://www.hertfordshire.su/,,74,3030,75
10007148,10007148,XF,XF,1,http://www.hud.ac.uk/undergraduate/student-life/students-union/,,71,2225,70
10007149,10007149,XF,XF,1,http://hullstudent.com/,,79,2260,75
10007150,10007150,XF,XF,1,http://www.kentunion.co.uk/,,73,3170,75
10007151,10007151,XF,XF,1,http://www.lincolnsu.com/support,,74,2260,70
10007152,10007152,XF,XF,1,http://www.bedssu.co.uk/,,67,1830,75
10007154,10007154,XF,XF,1,http://www.uonsu-success.co.uk/about-us/,,70,4650,75
10007155,10007155,XF,XF,1,https://www.upsu.net/,,79,3385,80
10007156,10007156,XF,XF,1,http://www.salfordstudents.com/,,70,2855,80
10007157,10007157,XF,XF,1,http://su.sheffield.ac.uk/,,96,3450,75
10007158,10007158,XF,XF,1,http://www.susu.org/,,66,2970,70
10007159,10007159,XF,XF,1,http://www.sunderlandsu.co.uk/,,60,1700,75
10007160,10007160,XF,XF,1,http://www.ussu.co.uk/Pages/Default.aspx,,77,1765,80
10007161,10007161,XF,XF,1,http://www.tees-su.org.uk/,,85,1590,65
10007162,10007162,XF,XF,1,http://www.suarts.org/about/contact,,60,2650,75
10007163,10007163,XF,XF,1,http://www.warwicksu.com,,73,2960,80
10007164,10007164,XF,XF,1,http://www.uwesu.org/,,72,3385,75
10007165,10007165,XF,XF,1,http://www.uwsu.com/,,58,2945,80
10007166,10007166,XF,XF,1,http://wlv.ac.uk/su,,64,2435,70
10007167,10007167,XF,XF,1,http://www.yusu.org/,,60,2390,70
10007193,10007193,XF,XF,1,http://www.uxbridgecollege.ac.uk,,66,67,92
10007289,10007289,XF,XF,1,http://www.nus.org.uk/en/students-unions/,,60,106,95
10007299,10006299,XF,XF,0,http://www.staffsunion.com,,,,75
10007407,10007407,XF,XF,1,http://www.west-cheshire.ac.uk/our-welcome/campus-life/west-cheshire-college-student-union/,,91,12,52
10007417,10007417,XF,XF,1,http://www.westherts.ac.uk/,,71,113,64
10007419,10007419,XF,XF,1,http://westkent.ac.uk/learner-information/student-services/1086-student-union.html,,54,30,63
10007427,10007427,XF,XF,1,http://www.wnc.ac.uk/Facilities-and-services/Students-union.aspx,,53,96,91
10007431,10014001,XF,XF,1,http://www.uosunion.org/,,49,70,70
10007434,10007434,XF,XF,1,http://www.west-thames.ac.uk/en/higher-education/,,46,62,62
10007455,10007455,XF,XF,1,http://www.nus.org.uk/,,64,222,51
10007459,10007459,XF,XF,1,http://www.ucw.ac.uk/,,65,233,78
10007469,10007469,XF,XF,1,http://www.weymouth.ac.uk/information/student-union/,,70,26,72
10007500,10007500,XF,XF,1,https://www.wigan-leigh.ac.uk/students-union,,52,73,66
10007527,10007527,XF,XF,0,http://www.wiltshire.ac.uk/studentlife/studentunion/parliament.asp,,52,74,70
10007553,10007553,XF,XF,1,http://wmc.ac.uk/the-college/about-wirral-met-college/232-students-union,,63,45,60
10007578,10007578,XF,XF,1,http://www.wolvcoll.ac.uk/union/,,52,25,71
10007657,10007657,XF,XF,1,http://www.writtle.ac.uk/Students'-Union,,57,160,80
10007696,10007696,XF,XF,1,http://www.ucy.ac.uk/student-guide/student-union/,,41,64,56
10007700,10001143,XF,XF,0,http://ccsu.co.uk/,,,,65
10007709,10007709,XF,XF,1,https://www.yorkcollege.ac.uk/intranet/358-support-departments/enrichment/1820-students-union.html,,60,90,79
10007713,10007713,XF,XF,1,http://www.ysjsu.com,,70,1175,75
10007759,10007759,XF,XF,1,http://www.astonunion.com/,,63,1265,70
10007760,10007760,XF,XF,1,http://www.birkbeckunion.org/,,58,895,60
10007761,10007761,XF,XF,1,http://www.courtauldsu.com,,75,30,65
10007762,10007762,XH,XH,0,http://www.gcu.ac.uk/kis/studentsassociation,,68,2160,70
10007764,10007764,XH,XH,0,http://www.hwunion.com,,58,1170,80
10007765,10007765,XF,XF,1,http://www.heythrop.ac.uk/student-life/heythrop-students-union,,51,40,70
10007767,10007767,XF,XF,1,http://www.keelesu.com/,,84,1335,70
10007768,10007768,XF,XF,1,http://www.lancaster.ac.uk/study/teaching-and-learning/students-union-support/,,62,2185,80
10007772,10007772,XH,XH,0,http://napierstudents.com/,,64,1745,80
10007773,10007773,XF,XF,1,http://www.open.ac.uk/ousa/,,62,14550,50
10007774,10007774,XF,XF,1,http://www.ousu.org,,34,1730,60
10007775,10007775,XF,XF,1,http://www.qmsu.org,,71,2110,70
10007776,10007776,XF,XF,1,http://www.roehamptonstudent.com/student-support/,,70,1250,80
10007778,10007778,XF,XF,1,http://www.rcm.ac.uk/life/studentservices/su/,,71,95,80
10007779,10007779,XF,XF,1,http://rvc-student-union.myshopify.com/,,65,305,90
10007780,10007780,XF,XF,1,http://soasunion.org/,,72,570,70
10007782,10007782,XF,XF,1,https://www.sgsu.org.uk,,66,550,75
10007783,10007783,XH,XH,0,http://www.ausa.org.uk/,,47,1615,75
10007784,10007784,XF,XF,1,http://uclu.org/,,66,3180,80
