PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,JOBPOP,JOBRESP_RATE,JOBAGG,JOBSBJ,PROFMAN,OTHERJOB,UNKWN
10000291,10000291,K00120,1,10,80,13,041,75,25,0
10000291,10000291,K00121,1,85,84,13,035,71,27,1
10000291,10000291,K00122,1,85,84,13,035,71,27,1
10000291,10000291,K00123,1,85,84,13,035,71,27,1
10000291,10000291,K00125,1,20,75,24,,30,70,0
10000291,10000291,K00126,1,50,80,14,,95,5,0
10000291,10000291,K00127,1,20,90,13,048,90,10,0
10000291,10000291,K00128,1,30,80,13,027,55,45,0
10000291,10000291,K00129,1,40,75,12,27,50,50,0
10000291,10000291,K00130,1,40,75,12,27,50,50,0
10000291,10000291,K00131,1,40,80,13,066,50,50,0
10000291,10000291,K00132,1,30,80,13,027,55,45,0
10000291,10000291,K00133,1,10,75,12,26,60,40,0
10000291,10000291,K00140,1,10,80,13,041,75,25,0
10000291,10000291,K00141,1,10,80,24,,75,25,0
10000291,10000291,K00142,1,10,80,24,,75,25,0
10000291,10000291,K00143,1,15,70,24,,90,10,0
10000291,10000291,K00144,1,20,90,13,048,90,10,0
10000291,10000291,K00145,1,10,90,14,,90,10,0
10000291,10000291,K00146,1,10,75,24,,90,10,0
10000291,10000291,K00147,1,25,90,24,,100,0,0
10000291,10000291,K00150,2,25,75,14,,100,0,0
10000291,10000291,K00151,2,55,81,14,,98,2,0
10000291,10000291,K00152,1,50,100,14,,100,0,0
10000291,10000291,K00153,1,15,90,14,,95,5,0
10000291,10000291,K00154,1,15,90,12,30,45,55,0
10000291,10000291,K00156,1,95,80,13,054,26,73,1
10000291,10000291,K00157,1,80,81,14,,29,70,1
10000291,10000291,K00158,1,10,100,14,,20,80,0
10000291,10000291,K00160,1,10,80,14,,40,60,0
10000291,10000291,K00161,1,20,75,13,012,30,70,0
10000291,10000291,K00162,1,20,90,13,048,90,10,0
10000291,10000291,K00163,1,20,80,13,013,20,80,0
10000291,10000291,K00166,1,40,80,13,069,40,60,0
10000291,10000291,K00167,1,55,69,13,058,91,9,0
10000291,10000291,K00169,1,120,82,23,005,97,2,1
10000291,10000291,K00170,1,15,95,14,,65,30,5
10000291,10000291,K00173,1,10,90,14,,90,10,0
10000291,10000291,K00174,1,15,65,24,,75,25,0
10000291,10000291,K00176,1,20,90,14,,70,30,0
10000291,10000291,K00177,1,35,70,13,058,50,50,0
10000291,10000291,K00179,1,10,65,14,,50,50,0
10000291,10000291,K00182,1,60,83,13,060,43,55,2
10000291,10000291,K00185,1,20,75,13,012,30,70,0
10000291,10000291,K00188,1,35,85,14,,55,45,0
10000291,10000291,K00189,1,10,75,24,,35,65,0
10000291,10000291,K00190,1,15,80,24,,35,65,0
10000291,10000291,K00191,1,15,80,14,,25,75,0
10000291,10000291,K00192,1,20,80,13,013,20,80,0
10000291,10000291,K00193,1,15,90,14,,35,60,5
10000291,10000291,K00194,1,45,90,13,018,50,50,0
10000291,10000291,K00195,1,20,90,14,,50,50,0
10000291,10000291,K00196,1,45,90,13,018,50,50,0
10000291,10000291,K00199,1,80,92,12,04,99,1,0
10000291,10000291,K00200,1,10,85,14,,75,25,0
10000291,10000291,K00201,1,10,80,14,,40,60,0
10000291,10000291,K00202,1,30,80,13,027,55,45,0
10000291,10000291,K00242,1,10,75,24,,40,50,10
10000291,10000291,K00246,1,85,84,13,035,71,27,1
10000291,10000291,K00247,1,15,65,24,,80,15,5
10000291,10000291,K00249,1,30,80,13,027,55,45,0
10000291,10000291,K00256,1,10,75,14,,35,65,0
10000291,10000291,K00258,1,35,75,11,B,50,50,0
10000291,10000291,K00259,1,95,80,13,054,26,73,1
10000291,10000291,K00260,1,15,75,24,,75,25,0
10000291,10000291,K00264,1,120,82,23,005,97,2,1
10000291,10000291,K00266,1,30,70,22,09,35,65,0
