PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,DEGPOP,DEGAGG,DEGSBJ,UFIRST,UUPPER,ULOWER,UOTHER,UORDINARY,UDISTINCTION,UMERIT,UPASS,UNA
10000291,10000291,K00105,1,10,13,065,10,40,25,25,0,0,0,0,0
10000291,10000291,K00106,1,25,13,048,5,65,25,10,0,0,0,0,0
10000291,10000291,K00107,1,20,13,064,25,30,25,20,0,0,0,0,0
10000291,10000291,K00108,1,55,14,,60,34,4,2,0,0,0,0,0
10000291,10000291,K00109,1,20,14,,15,55,20,5,0,0,0,0,0
10000291,10000291,K00110,1,90,12,37,10,67,21,2,0,0,0,0,0
10000291,10000291,K00111,1,20,14,,5,15,40,35,0,0,0,0,0
10000291,10000291,K00114,1,40,13,052,15,40,20,25,0,0,0,0,0
10000291,10000291,K00115,1,140,13,035,28,38,28,7,0,0,0,0,0
10000291,10000291,K00116,1,380,13,061,30,30,28,13,0,0,0,0,0
10000291,10000291,K00117,1,10,13,065,10,40,25,25,0,0,0,0,0
10000291,10000291,K00118,1,20,12,26,25,30,25,20,0,0,0,0,0
10000291,10000291,K00119,1,35,24,,25,30,30,10,0,0,0,0,0
10000291,10000291,K00120,1,25,13,041,35,20,25,20,0,0,0,0,0
10000291,10000291,K00121,1,140,13,035,28,38,28,7,0,0,0,0,0
10000291,10000291,K00122,1,140,13,035,28,38,28,7,0,0,0,0,0
10000291,10000291,K00123,1,140,13,035,28,38,28,7,0,0,0,0,0
10000291,10000291,K00125,1,10,14,,0,20,75,10,0,0,0,0,0
10000291,10000291,K00126,1,65,14,,19,53,27,2,0,0,0,0,0
10000291,10000291,K00127,1,25,13,048,5,65,25,10,0,0,0,0,0
10000291,10000291,K00128,1,55,13,027,28,42,19,11,0,0,0,0,0
10000291,10000291,K00129,1,10,13,065,10,40,25,25,0,0,0,0,0
10000291,10000291,K00130,1,10,13,065,10,40,25,25,0,0,0,0,0
10000291,10000291,K00131,1,85,13,066,26,39,25,11,0,0,0,0,0
10000291,10000291,K00132,1,55,13,027,28,42,19,11,0,0,0,0,0
10000291,10000291,K00133,1,20,12,26,25,30,25,20,0,0,0,0,0
10000291,10000291,K00140,1,25,24,,5,30,50,15,0,0,0,0,0
10000291,10000291,K00141,1,15,14,,50,20,15,20,0,0,0,0,0
10000291,10000291,K00142,1,20,14,,65,30,5,0,0,0,0,0,0
10000291,10000291,K00143,1,15,14,,15,50,40,0,0,0,0,0,0
10000291,10000291,K00144,1,15,24,,15,40,40,5,0,0,0,0,0
10000291,10000291,K00145,1,10,14,,0,75,25,0,0,0,0,0,0
10000291,10000291,K00146,1,15,14,,10,45,40,10,0,0,0,0,0
10000291,10000291,K00147,1,25,24,,20,70,10,0,0,0,0,0,0
10000291,10000291,K00152,1,60,14,,15,46,36,3,0,0,0,0,0
10000291,10000291,K00153,1,40,14,,35,35,30,5,0,0,0,0,0
10000291,10000291,K00154,1,15,23,073,5,40,45,5,0,0,0,0,0
10000291,10000291,K00156,1,15,14,,25,75,0,0,0,0,0,0,0
10000291,10000291,K00157,1,140,14,,7,49,34,9,0,0,0,0,0
10000291,10000291,K00158,1,25,14,,15,40,35,15,0,0,0,0,0
10000291,10000291,K00160,1,20,14,,5,55,35,5,0,0,0,0,0
10000291,10000291,K00161,1,35,13,012,15,35,30,20,0,0,0,0,0
