PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,LOCID,UCASCOURSEID
10000291,10000291,K00192,1,CC,3690
10000291,10000291,K00193,1,CC,1107
10000291,10000291,K00194,1,CC,2411
10000291,10000291,K00195,1,CC,0662
10000291,10000291,K00196,1,CC,3247
10000291,10000291,K00200,1,CC,6042
10000291,10000291,K00201,1,CC,0938
10000291,10000291,K00202,1,CC,4731
10000291,10000291,K00246,1,CC,0377
10000291,10000291,K00248,1,AA,8911
10000291,10000291,K00249,1,CC,1619
10000291,10000291,K00290,1,CC,6579
10000291,10000291,K00291,1,AA,3271
10000291,10000291,K00292,1,AA,1100
10000291,10000291,K00297,1,AA,2595
10000291,10000291,K00298,1,CC,0903
10000291,10000291,K00299,1,CC,7988
10000291,10000291,K00300,1,AA,2881
10000291,10000291,K00300,1,CC,7883
10000291,10000291,K00306,1,CC,4122
10000291,10000291,K00308,1,AA,0247
10000291,10000291,K00308,1,CC,9260
10000291,10000291,K00309,1,CC,3172
10000291,10000291,K00312,1,CC,1495
10000291,10000291,K00314,1,CC,4483
10000291,10000291,K00316,1,AA,0594
10000291,10000291,K00320,1,CC,0788
10000291,10000291,K00323,1,AA,9036
10000291,10000291,K00324,1,AA,8064
10000291,10000291,K00326,1,AA,6905
10000291,10000291,K00327,1,AA,3143
10000291,10000291,K00329,1,AA,3991
10000291,10000291,K00330,1,AA,0413
10000291,10000291,K00331,1,CC,1500
10000291,10000291,K00334,2,55,3439
10000385,10000385,BAACT,1,AB,0863
10000385,10000385,BAAEP,1,AB,5581
10000385,10000385,BAANP,1,AB,2986
10000385,10000385,BAARC,1,AB,9731
10000385,10000385,BACPH,1,AB,3344
10000385,10000385,BACRW,1,AB,4154
10000385,10000385,BACSS,1,AB,2125
10000385,10000385,BADAN,1,AB,1858
10000385,10000385,BAFAR,1,AB,9801
10000385,10000385,BAFCO,1,AB,4399
10000385,10000385,BAFLP,1,AB,7173
10000385,10000385,BAFSC,1,AB,3594
10000385,10000385,BAGDS,1,AB,8343
10000385,10000385,BAIAD,1,AB,6431
10000385,10000385,BAILL,1,AB,4167
10000385,10000385,BAMDM,1,AB,5039
10000385,10000385,BAMMP,1,AB,2165
10000385,10000385,BAPHO,1,AB,7586
10000385,10000385,BATXT,1,AB,2896
10000385,10000385,BAVCO,1,AB,9794
10000385,10000385,BAVFX,1,AB,2024
10000415,10000415,BSA3F,1,YC,1150
10000415,10000415,DFACCF,1,YC,7330
10000415,10000415,DFALMF,1,YC,6543
10000415,10000415,DFALMP,2,YC,6543
10000415,10000415,DFAMX,1,GC,3327
10000415,10000415,DFAMXF,1,YC,0046
10000415,10000415,DFAMXP,2,YC,0046
10000415,10000415,DFARBF,1,YC,4410
10000415,10000415,DFCFBF,1,YC,0869
10000415,10000415,DFCMXF,1,YC,1431
10000415,10000415,DFCMXP,2,YC,1431
10000415,10000415,DFELEF,1,YC,0516
10000415,10000415,DFESCF,1,YC,6576
10000415,10000415,DFHORF,1,YC,2870
10000415,10000415,DFSAOF,1,YC,6769
10000415,10000415,DFSSCF,1,YC,7071
10000415,10000415,DFVHSF,1,YC,6683
10000415,10000415,DFVNX,1,NC,6111
10000415,10000415,DFVNXF,1,YC,0461
10000473,10000473,HL5FDCOMP,1,UC,9348
10000528,10000528,Q130F061-15,1,RG,3417
10000528,10000528,Q170F016,1,RG,1029
10000528,10000528,Q170F017,1,RG,4990
10000528,10000528,Q170F019,1,RG,0078
10000528,10000528,Q170F224-15,1,RG,8920
10000528,10000528,Q310F125,1,RG,5981
10000533,10000533,1C1035,1,WS,7086
10000533,10000533,1C1035,2,WS,7086
10000533,10000533,2B1087,1,WS,3158
10000533,10000533,2B1801,1,SG,6562
10000533,10000533,2C8077,1,SG,0429
10000533,10000533,2D2055,1,WS,9012
10000533,10000533,2D2055,2,WS,9012
10000533,10000533,2D3202,1,SG,9292
10000534,10000534,BEAUTFD,1,NB,5420
10000534,10000534,CHILDFD,1,NB,2457
10000534,10000534,NETWKFD,1,NB,8695
10000534,10000534,SOFTWFD,1,NB,8331
10000536,10000536,AT19CBSCFT,1,UC,9534
10000536,10000536,AT19CBSCPT,2,UC,9534
10000536,10000536,AT29EHND,1,UC,6682
10000536,10000536,AT29MHND,1,UC,1144
10000536,10000536,AT39BHND,1,UC,3416
10000536,10000536,AT39CHND,1,UC,9886
10000536,10000536,AT39THND,1,UC,8223
10000536,10000536,AT49AMHD,1,WF,3712
10000536,10000536,CA29HHND,1,UC,0798
10000536,10000536,CA49AHNDFT,1,UC,8158
10000536,10000536,CA49BAMT,1,UC,6705
10000536,10000536,CA49BAPM,1,UC,7245
10000536,10000536,CA49FDTT,1,UC,2648
10000536,10000536,CA49GHNDFT,1,UC,8572
10000536,10000536,PS29EYBAFT,1,UC,0919
10000536,10000536,PS29EYBAPT,2,UC,0919
10000536,10000536,PS29FDLSFT,1,UC,5738
10000536,10000536,PS29FDLSPT,2,UC,5738
10000536,10000536,PS39PHND,1,UC,1808
10000536,10000536,PS39SHND,1,UC,9982
10000536,10000536,PS69PPHS,1,UC,3206
10000560,10000560,CF07,1,BC,2233
10000560,10000560,EF42,1,BC,8051
10000560,10000560,EF43,1,BC,9410
10000560,10000560,JF14,1,BC,7566
10000560,10000560,PH04,1,BC,9430
10000571,10000571,BA-3DIMO,1,SH,2844
10000571,10000571,BA-ACT,1,NP,2856
10000571,10000571,BA-BM,1,NP,1172
10000571,10000571,BA-BMACC,1,NP,6382
10000571,10000571,BA-BMENP,1,NP,3939
10000571,10000571,BA-BMFAE,1,NP,0135
10000571,10000571,BA-BMHRM,1,NP,5499
10000571,10000571,BA-BMINT,1,NP,5538
10000571,10000571,BA-BMM,1,NP,8658
10000571,10000571,BA-BMTM,1,NP,0411
10000571,10000571,BA-CAARACE,1,SH,9438
10000571,10000571,BA-CAARACW,1,NP,7513
10000571,10000571,BA-CAARADA,1,NP,4170
10000571,10000571,BA-CAARADS,1,NP,8408
10000571,10000571,BA-CAARAMU,1,NP,3818
10000571,10000571,BA-CAARATD,1,SH,1131
10000571,10000571,BA-CAARAVD,1,SH,8709
10000571,10000571,BA-CACEACW,1,NP,5899
10000571,10000571,BA-CACEADA,1,NP,3553
10000571,10000571,BA-CACEADS,1,NP,1104
10000571,10000571,BA-CACEAMU,1,NP,7617
10000571,10000571,BA-CACEATD,1,SH,8610
10000571,10000571,BA-CACEAVD,1,SH,9350
10000571,10000571,BA-CACWADA,1,NP,2865
10000571,10000571,BA-CACWADS,1,NP,6133
10000571,10000571,BA-CACWAMU,1,NP,8067
10000571,10000571,BA-CACWATD,1,NP,6575
10000571,10000571,BA-CACWAVD,1,NP,4387
10000571,10000571,BA-CADAADS,1,NP,2361
10000571,10000571,BA-CADAAMU,1,NP,4612
10000571,10000571,BA-CADAATD,1,NP,9453
10000571,10000571,BA-CADAAVD,1,NP,6089
10000571,10000571,BA-CADSAMU,1,NP,0067
10000571,10000571,BA-CADSATD,1,NP,1609
10000571,10000571,BA-CADSAVD,1,NP,1863
10000571,10000571,BA-CAMUATD,1,NP,0564
10000571,10000571,BA-CAMUAVD,1,NP,8543
10000571,10000571,BA-CAP,1,NP,3714
10000571,10000571,BA-CATDAVD,1,NP,9565
10000571,10000571,BA-CM,1,NP,7682
10000571,10000571,BA-CMP,1,NP,9996
10000571,10000571,BA-CW,1,NP,1535
10000571,10000571,BA-DA,1,NP,6124
10000571,10000571,BA-DS,1,NP,0826
10000571,10000571,BA-EDAAR,1,NP,4178
10000571,10000571,BA-EDABM,1,NP,9809
10000571,10000571,BA-EDACW,1,NP,6205
10000571,10000571,BA-EDADA,1,NP,2408
10000571,10000571,BA-EDADS,1,NP,8742
10000571,10000571,BA-EDAEN,1,NP,2531
10000571,10000571,BA-EDAHY,1,NP,8177
10000571,10000571,BA-EDAMC,1,NP,2317
10000571,10000571,BA-EDASR,1,NP,3777
10000571,10000571,BA-EDATD,1,NP,5475
10000571,10000571,BA-EDSIN,1,NP,9822
10000571,10000571,BA-EN,1,NP,7240
10000571,10000571,BA-ES,1,NP,3856
10000571,10000571,BA-EY,1,NP,1380
10000571,10000571,BA-EYSIN,1,NP,8061
10000571,10000571,BA-FD,1,CI,6121
10000571,10000571,BA-FINEART,1,SH,4711
10000571,10000571,BA-FSS,1,NP,6381
10000571,10000571,BA-FTD,1,SH,6748
10000571,10000571,BA-FTV,1,NP,1997
10000571,10000571,BA-GEHU,1,NP,0579
10000571,10000571,BA-GRAPHCOM,1,SH,8344
10000571,10000571,BA-HAD,1,NP,5315
10000571,10000571,BA-HY,1,NP,6375
10000571,10000571,BA-IE,1,NP,8923
10000571,10000571,BA-IEDSIN,1,NP,1169
10000571,10000571,BA-MC,1,NP,6626
10000571,10000571,BA-MT,1,NP,8409
10000571,10000571,BA-MUS,1,NP,3359
10000571,10000571,BA-PH,1,SH,4566
10000571,10000571,BA-RPE,1,NP,8891
10000571,10000571,BA-TP,1,NP,8992
10000571,10000571,BA-YC,1,NP,8981
10000571,10000571,BAMA-CM,1,NP,9920
10000571,10000571,BAMA-TDFI,1,SH,7130
10000571,10000571,BS-BI,1,NP,4072
10000571,10000571,BS-BI-SW,1,NP,3043
10000571,10000571,BS-BICB,1,NP,7217
10000571,10000571,BS-BICB-SW,1,NP,9793
10000571,10000571,BS-BIHB,1,NP,7559
10000571,10000571,BS-BIHB-SW,1,NP,3660
10000571,10000571,BS-CCAN,1,NP,2419
10000571,10000571,BS-CCGM,1,NP,4829
10000571,10000571,BS-CCSD,1,NP,8080
10000571,10000571,BS-CRI,1,NP,4639
10000571,10000571,BS-EDABI,1,NP,2472
10000571,10000571,BS-EDAGE,1,NP,1431
10000571,10000571,BS-EDAPS,1,NP,5208
10000571,10000571,BS-EDASC,1,NP,8769
10000571,10000571,BS-EV,1,NP,8104
10000571,10000571,BS-EV-SW,1,NP,4646
10000571,10000571,BS-FS,1,NP,3004
10000571,10000571,BS-FS-SW,1,NP,6463
10000571,10000571,BS-GDS,1,NP,8196
10000571,10000571,BS-GE,1,NP,9734
10000571,10000571,BS-GEPH,1,NP,4628
