PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,ENTPOP,ENTAGG,ENTSBJ,ACCESS,ALEVEL,BACC,DEGREE,FOUNDTN,NOQUALS,OTHER,OTHERHE
10000291,10000291,K00070,1,260,13,035,1,82,0,2,0,0,9,5
10000291,10000291,K00075,1,120,24,,1,98,0,0,0,0,1,1
10000291,10000291,K00076,1,30,24,,5,95,0,0,0,0,0,0
10000291,10000291,K00079,1,20,14,,0,70,0,5,0,0,20,5
10000291,10000291,K00080,1,45,13,065,0,45,0,5,0,0,25,20
10000291,10000291,K00082,1,455,14,,9,61,0,13,0,0,10,6
10000291,10000291,K00083,1,25,14,,0,60,0,0,0,25,5,10
10000291,10000291,K00085,1,350,13,061,0,68,1,3,0,4,15,9
10000291,10000291,K00086,1,140,12,04,0,87,1,4,0,1,6,1
10000291,10000291,K00087,1,255,12,21,9,77,0,1,0,0,4,8
10000291,10000291,K00090,2,15,13,058,10,40,0,15,0,0,15,25
10000291,10000291,K00091,1,180,13,058,14,55,0,5,1,0,13,13
10000291,10000291,K00092,1,260,13,035,1,82,0,2,0,0,9,5
10000291,10000291,K00093,2,20,14,,5,5,0,65,0,0,10,10
10000291,10000291,K00095,1,45,13,065,0,45,0,5,0,0,25,20
10000291,10000291,K00096,1,20,14,,0,45,5,0,0,40,10,0
10000291,10000291,K00098,1,35,13,062,0,75,0,0,0,5,15,5
10000291,10000291,K00099,1,260,13,035,1,82,0,2,0,0,9,5
10000291,10000291,K00100,1,30,13,041,0,55,5,0,0,0,20,20
10000291,10000291,K00101,1,55,13,040,0,75,0,5,2,0,9,9
10000291,10000291,K00102,1,45,13,037,0,70,0,0,0,0,20,10
10000291,10000291,K00103,1,35,13,047,0,65,0,5,0,0,20,15
10000291,10000291,K00104,1,130,11,9,0,68,2,2,1,0,15,12
10000291,10000291,K00105,1,45,13,065,0,45,0,5,0,0,25,20
10000291,10000291,K00106,1,35,13,048,5,70,0,5,5,0,10,10
10000291,10000291,K00107,1,30,13,064,0,55,0,0,0,0,35,10
10000291,10000291,K00108,1,110,14,,2,67,1,25,0,0,2,4
10000291,10000291,K00109,1,75,14,,5,79,0,11,0,0,3,3
10000291,10000291,K00110,1,140,12,37,0,92,0,1,0,0,4,4
10000291,10000291,K00111,1,85,14,,19,40,0,7,0,0,12,21
10000291,10000291,K00114,1,10,14,,0,90,0,0,0,0,10,0
10000291,10000291,K00115,1,260,13,035,1,82,0,2,0,0,9,5
10000291,10000291,K00116,1,20,14,,0,95,0,0,0,0,0,5
10000291,10000291,K00117,1,45,13,065,0,45,0,5,0,0,25,20
10000291,10000291,K00118,1,70,13,063,1,71,4,3,0,0,17,3
10000291,10000291,K00119,1,45,14,,0,75,0,15,0,0,10,0
10000291,10000291,K00120,1,30,13,041,0,55,5,0,0,0,20,20
10000291,10000291,K00121,1,260,13,035,1,82,0,2,0,0,9,5
10000291,10000291,K00122,1,260,13,035,1,82,0,2,0,0,9,5
10000291,10000291,K00123,1,260,13,035,1,82,0,2,0,0,9,5
10000291,10000291,K00125,1,20,14,,0,85,0,5,0,0,5,5
10000291,10000291,K00126,1,85,14,,11,65,0,4,0,0,15,5
10000291,10000291,K00127,1,35,13,048,5,70,0,5,5,0,10,10
10000291,10000291,K00128,1,160,13,027,2,90,0,1,0,0,6,2
10000291,10000291,K00129,1,45,13,065,0,45,0,5,0,0,25,20
10000291,10000291,K00130,1,45,13,065,0,45,0,5,0,0,25,20
10000291,10000291,K00131,1,120,13,066,3,86,1,0,0,1,8,2
10000291,10000291,K00132,1,160,13,027,2,90,0,1,0,0,6,2
10000291,10000291,K00133,1,70,13,063,1,71,4,3,0,0,17,3
10000291,10000291,K00134,1,10,14,,0,80,0,0,0,0,20,0
10000291,10000291,K00140,1,20,14,,0,50,5,0,0,0,20,25
10000291,10000291,K00141,1,25,24,,0,60,0,0,0,0,30,10
10000291,10000291,K00142,1,45,14,,0,70,0,0,0,0,20,10
10000291,10000291,K00143,1,25,14,,0,60,0,5,0,0,15,15
10000291,10000291,K00144,1,10,14,,0,60,0,10,10,0,10,10
10000291,10000291,K00145,1,15,24,,0,65,0,5,0,0,5,25
10000291,10000291,K00146,1,10,14,,0,65,0,0,0,0,25,10
10000291,10000291,K00147,1,15,14,,5,75,0,0,0,0,10,5
10000291,10000291,K00149,1,20,24,,0,95,0,0,0,5,0,0
10000291,10000291,K00150,2,35,14,,0,40,0,15,5,0,5,40
10000291,10000291,K00151,2,50,14,,0,45,0,20,0,0,10,25
10000291,10000291,K00152,1,60,14,,0,75,2,7,0,3,11,2
10000291,10000291,K00153,1,40,14,,0,100,0,0,0,0,0,0
10000291,10000291,K00154,1,15,13,073,0,90,5,0,0,5,0,0
10000291,10000291,K00156,1,15,14,,50,50,0,0,0,0,0,0
10000291,10000291,K00157,1,145,14,,1,94,0,0,0,0,3,2
10000291,10000291,K00158,1,30,14,,0,95,0,5,0,0,5,0
10000291,10000291,K00159,1,20,23,035,0,65,0,0,0,0,30,5
10000291,10000291,K00160,1,35,14,,0,95,0,0,0,0,5,0
10000291,10000291,K00161,1,35,13,012,5,85,5,0,0,0,5,5
10000291,10000291,K00162,1,35,13,048,5,70,0,5,5,0,10,10
10000291,10000291,K00163,1,90,13,013,0,88,1,0,0,0,8,3
10000291,10000291,K00164,1,20,23,035,0,65,0,0,0,0,30,5
10000291,10000291,K00166,1,15,24,,0,100,0,0,0,0,0,0
10000291,10000291,K00167,1,15,14,,0,75,0,0,10,0,0,15
10000291,10000291,K00169,1,45,13,005,0,65,0,5,0,0,20,5
10000291,10000291,K00170,1,85,14,,2,75,0,4,0,0,12,7
10000291,10000291,K00173,1,10,14,,0,75,0,10,0,0,15,0
10000291,10000291,K00174,1,30,14,,5,85,0,5,0,5,5,5
10000291,10000291,K00176,1,50,14,,0,95,0,0,0,0,0,0
10000291,10000291,K00177,1,80,13,058,1,51,0,2,0,0,11,34
10000291,10000291,K00179,1,40,14,,0,90,0,0,0,0,5,5
10000291,10000291,K00182,1,210,13,060,2,74,1,2,0,1,14,6
10000291,10000291,K00185,1,35,13,012,5,85,5,0,0,0,5,5
10000291,10000291,K00188,1,70,14,,3,68,0,1,0,0,14,14
10000291,10000291,K00189,1,35,14,,0,85,0,0,0,5,10,5
10000291,10000291,K00190,1,20,14,,0,80,0,0,0,0,10,10
10000291,10000291,K00191,1,45,14,,0,90,0,0,0,0,0,5
10000291,10000291,K00192,1,45,14,,0,85,0,0,0,0,15,0
10000291,10000291,K00193,1,40,14,,0,80,0,0,0,0,10,5
10000291,10000291,K00194,1,105,13,018,0,87,0,0,0,1,8,4
10000291,10000291,K00195,1,50,14,,0,90,0,0,0,0,5,0
10000291,10000291,K00196,1,105,13,018,0,87,0,0,0,1,8,4
10000291,10000291,K00199,1,140,12,04,0,87,1,4,0,1,6,1
10000291,10000291,K00200,1,25,14,,0,95,0,0,0,0,0,5
10000291,10000291,K00201,1,40,14,,0,90,0,0,0,0,10,0
10000291,10000291,K00202,1,70,14,,1,89,0,1,0,0,6,3
10000291,10000291,K00242,1,15,14,,20,80,0,0,0,0,0,0
10000291,10000291,K00244,1,10,13,012,25,25,0,0,0,0,50,0
10000291,10000291,K00246,1,55,14,,0,91,0,0,0,0,6,4
10000291,10000291,K00247,1,15,24,,0,95,0,0,0,0,5,0
10000291,10000291,K00248,1,15,14,,0,75,0,0,0,0,25,0
10000291,10000291,K00249,1,20,14,,0,100,0,0,0,0,0,0
10000291,10000291,K00250,1,15,24,,15,70,0,0,0,15,5,0
10000291,10000291,K00256,1,20,14,,25,70,0,0,0,0,0,5
10000291,10000291,K00258,1,15,14,,5,90,0,0,0,5,0,0
10000291,10000291,K00259,1,15,24,,40,60,0,0,0,0,0,0
10000291,10000291,K00260,1,15,14,,0,85,0,0,0,10,10,0
10000291,10000291,K00264,1,45,13,005,0,65,0,5,0,0,20,5
10000291,10000291,K00265,1,25,12,09,5,90,0,0,0,0,5,0
10000291,10000291,K00266,1,15,23,024,5,75,0,0,5,0,5,5
10000291,10000291,K00267,1,20,14,,10,90,0,0,0,0,0,0
10000291,10000291,K00268,1,15,14,,0,70,5,0,0,0,5,15
10000291,10000291,K00277,2,10,14,,0,50,0,0,0,0,0,50
10000291,10000291,K00278,2,10,13,041,0,50,0,0,0,0,10,40
10000291,10000291,K00283,2,60,14,,3,58,0,3,0,0,3,32
10000291,10000291,K00286,2,10,23,035,0,65,0,10,0,0,10,20
10000291,10000291,K00289,2,20,14,,0,65,0,0,0,0,0,35
10000291,10000291,K00290,1,25,14,,0,65,0,0,0,0,30,10
10000291,10000291,K00291,1,15,14,,0,75,5,5,0,0,15,0
10000291,10000291,K00292,1,25,14,,5,70,0,5,0,0,20,5
10000291,10000291,K00293,1,160,13,027,2,90,0,1,0,0,6,2
10000291,10000291,K00295,1,30,14,,5,85,0,0,0,0,5,5
10000291,10000291,K00297,1,45,13,065,0,45,0,5,0,0,25,20
10000291,10000291,K00298,1,25,14,,0,65,10,5,0,0,20,5
10000291,10000291,K00299,1,10,24,,0,85,0,10,0,0,10,0
10000291,10000291,K00300,1,110,14,,5,80,2,2,0,0,11,1
10000291,10000291,K00306,1,95,14,,0,76,1,1,0,1,18,3
10000291,10000291,K00308,1,45,14,,0,65,0,5,0,0,20,5
10000291,10000291,K00309,1,60,13,021,0,83,2,0,0,2,7,7
10000291,10000291,K00310,1,25,14,,5,65,0,0,0,5,15,10
10000291,10000291,K00311,2,15,24,,0,45,0,0,0,0,5,45
10000291,10000291,K00312,1,30,14,,0,100,0,0,0,0,0,0
10000291,10000291,K00314,1,10,14,,0,70,10,0,0,0,20,0
10000291,10000291,K00316,1,45,13,065,0,45,0,5,0,0,25,20
10000291,10000291,K00318,2,10,13,063,10,40,0,20,0,0,10,20
10000291,10000291,K00320,1,10,14,,0,90,10,0,0,0,0,0
10000291,10000291,K00322,2,10,14,,0,45,0,0,0,0,0,55
10000291,10000291,K00323,1,1010,11,2,5,65,0,13,0,0,10,7
10000291,10000291,K00324,1,1010,11,2,5,65,0,13,0,0,10,7
10000291,10000291,K00325,2,15,14,,0,85,0,0,0,0,10,10
10000291,10000291,K00326,1,140,12,04,0,87,1,4,0,1,6,1
10000291,10000291,K00327,1,140,12,04,0,87,1,4,0,1,6,1
10000291,10000291,K00328,1,10,24,,0,100,0,0,0,0,0,0
10000291,10000291,K00329,1,1010,11,2,5,65,0,13,0,0,10,7
10000291,10000291,K00330,1,1010,11,2,5,65,0,13,0,0,10,7
10000291,10000291,K00331,1,480,11,B,10,69,0,3,0,0,8,9
10000291,10000291,K00332,2,100,13,061,1,52,0,14,0,1,24,8
10000291,10000291,K00334,2,15,14,,10,40,0,15,0,0,15,25
10000291,10000291,K00335,2,25,14,,0,60,0,0,0,0,35,5
10000291,10000291,K00338,2,15,14,,0,45,0,5,0,0,35,10
10000291,10000291,K00341,2,15,11,B,5,45,0,15,0,0,15,25
10000291,10000291,K00342,2,15,11,B,5,45,0,15,0,0,15,25
10000291,10000291,K00345,2,40,23,103,0,25,0,0,5,0,0,65
10000291,10000291,K00346,2,45,21,I,0,25,0,0,5,0,0,65
10000291,10000291,K00347,2,15,11,B,5,45,0,15,0,0,15,25
10000291,10000291,K00352,2,35,11,D,5,45,0,15,0,0,10,25
10000291,10000291,K00357,2,10,12,26,10,40,0,20,0,0,10,20
10000291,10000291,K00358,2,10,13,063,10,40,0,20,0,0,10,20
10000291,10000291,K00359,2,25,13,061,0,50,0,10,0,0,10,30
10000291,10000291,K00360,2,25,13,061,0,50,0,10,0,0,10,30
10000291,10000291,K00361,2,25,13,061,0,50,0,10,0,0,10,30
10000291,10000291,K00362,2,10,13,063,10,40,0,20,0,0,10,20
10000291,10000291,K00442,1,10,14,,40,60,0,0,0,0,0,0
10000385,10000385,BAACT,1,50,14,,0,90,0,0,0,0,0,5
10000385,10000385,BAAEP,1,35,14,,5,85,5,0,0,5,5,5
10000385,10000385,BAANP,1,80,14,,0,92,0,0,0,3,4,1
10000385,10000385,BAARC,1,45,14,,0,80,5,0,0,0,5,5
10000385,10000385,BACPH,1,60,14,,0,85,0,0,0,2,3,10
10000385,10000385,BACRW,1,295,12,38,0,86,1,0,0,2,5,7
10000385,10000385,BACSS,1,70,14,,0,87,1,3,1,1,1,4
10000385,10000385,BADAN,1,180,12,37,0,90,1,1,1,2,1,4
10000385,10000385,BAFAR,1,65,14,,0,82,3,0,2,3,0,11
10000385,10000385,BAFCO,1,415,13,096,0,90,2,0,0,1,2,5
10000385,10000385,BAFLP,1,95,14,,0,80,3,0,0,2,5,10
10000385,10000385,BAFSC,1,75,14,,0,88,1,0,1,1,1,6
10000385,10000385,BAGDS,1,80,14,,0,90,4,1,0,1,1,3
10000385,10000385,BAIAD,1,50,14,,0,85,5,0,0,0,10,0
10000385,10000385,BAILL,1,70,14,,0,94,0,0,0,0,0,6
10000385,10000385,BAMDM,1,45,14,,0,95,0,0,0,0,0,0
10000385,10000385,BAMMP,1,60,14,,0,91,2,0,0,3,0,3
10000385,10000385,BAPHO,1,60,14,,0,87,0,0,0,0,7,7
10000385,10000385,BATXT,1,50,14,,0,95,0,0,0,0,0,5
10000385,10000385,BAVCO,1,50,14,,0,80,0,0,0,0,5,10
10000385,10000385,BAVFX,1,295,13,100,0,86,1,0,0,2,5,7
10000415,10000415,BSA3F,1,10,14,,0,90,0,0,0,0,10,0
10000415,10000415,DFACCF,1,20,13,021,0,70,0,0,0,0,25,5
10000415,10000415,DFALMF,1,15,14,,0,75,0,0,0,0,25,0
10000415,10000415,DFALMP,2,10,13,024,0,70,0,0,0,0,0,30
10000415,10000415,DFAMX,1,61,14,,0,77,0,0,0,0,20,3
10000415,10000415,DFAMXF,1,61,14,,0,77,0,0,0,0,20,3
10000415,10000415,DFAMXP,2,10,13,024,0,70,0,0,0,0,0,30
10000415,10000415,DFARBF,1,167,12,09,0,71,0,0,0,1,25,4
10000415,10000415,DFCFBF,1,20,13,021,0,70,0,0,0,0,25,5
10000415,10000415,DFCMXF,1,20,24,,0,65,0,0,0,10,20,5
10000415,10000415,DFCMXP,2,10,13,024,0,70,0,0,0,0,0,30
10000415,10000415,DFELEF,1,142,13,024,0,70,0,0,0,1,25,4
10000415,10000415,DFESCF,1,15,14,,0,55,0,0,0,5,35,0
10000415,10000415,DFHORF,1,20,24,,0,55,0,5,0,0,15,25
10000415,10000415,DFSSMF,1,142,13,024,0,70,0,0,0,1,25,4
10000415,10000415,DFVHSF,1,15,14,,0,85,0,0,0,0,15,0
10000415,10000415,DFVNX,1,20,13,021,0,70,0,0,0,0,25,5
10000415,10000415,DFVNXF,1,20,13,021,0,70,0,0,0,0,25,5
10000528,10000528,Q130F061-15,1,20,14,,0,25,0,0,0,25,35,10
10000528,10000528,Q170F016,1,15,14,,0,60,0,0,0,0,40,0
10000528,10000528,Q170F017,1,15,14,,0,60,0,0,0,10,15,15
10000528,10000528,Q170F019,1,20,14,,0,70,0,0,0,15,15,0
10000528,10000528,Q170F224-15,1,15,14,,0,70,0,0,0,10,15,10
